N_content_mstruct,Cont_WSC_DM_shoot,N_content_total_DM_shoot,N_content_shoot,axis,shoot_roots_mstruct_ratio,Cont_WSC_DM_roots,C_N_ratio_shoot,N_content_mstruct_shoot,N_content_mstruct_roots,C_respired_shoot,sum_respi_shoot,sum_N_g,t,Tillers_Photosynthesis_An,mstruct_shoot,plant,sum_dry_mass_stem,sum_N_g_shoot,sum_dry_mass_roots,mstruct_laminae,N_content,NS_shoot,sum_C_g,sum_dry_mass,NS_stem,N_content_roots,NS_laminae,C_N_ratio,sum_dry_mass_shoot,sum_dry_mass_laminae,Tillers_Photosynthesis,sum_NSC_g,shoot_roots_ratio,C_respired_roots,NS,dry_mass_phloem,NS_roots,Total_Transpiration,senesced_mstruct,Total_Photosynthesis,Cont_WSC_DM,mstruct_stem,Cont_WSC_DM_stem,C_exudated,mstruct,NNI,sum_respi_roots,Cont_WSC_DM_laminae
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,8.3758200000,NA,25.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0005600000,0.0312000000,NA,NA,NA,NA,9.1363500000,3.5057000000,NA,12.7975300000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,8.5758300000,NA,26.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0005400000,0.0331200000,NA,NA,NA,NA,12.4112900000,3.5048600000,NA,13.2875900000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,8.5846300000,NA,27.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0005400000,0.0331200000,NA,NA,NA,NA,8.4275400000,3.5049100000,NA,13.9121500000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,8.3581400000,NA,28.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0005600000,0.0350200000,NA,NA,NA,NA,11.5191100000,3.5040800000,NA,13.0955100000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,8.2730000000,NA,29.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0005600000,0.0350200000,NA,NA,NA,NA,7.5178400000,3.5041200000,NA,12.9085600000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,10.1131100000,NA,30.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016100000,0.0373200000,NA,NA,NA,NA,12.6133400000,3.5031100000,NA,14.8799400000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,10.6383000000,NA,31.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016100000,0.0373200000,NA,NA,NA,NA,9.1891500000,3.5031800000,NA,18.1617800000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,13.9808000000,NA,32.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0088700000,0.0408400000,NA,NA,NA,NA,19.0005300000,3.5016000000,NA,19.9541600000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,14.3199800000,NA,33.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0088700000,0.0408400000,NA,NA,NA,NA,14.0587300000,3.5016900000,NA,19.7077800000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,16.3714600000,NA,34.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0140800000,0.0448600000,NA,NA,NA,NA,27.3296400000,3.4998700000,NA,21.7912500000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,16.9962000000,NA,35.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0140800000,0.0448600000,NA,NA,NA,NA,23.6603900000,3.4999800000,NA,23.7022000000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,18.8541900000,NA,36.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0191700000,0.0495800000,NA,NA,NA,NA,39.9367900000,3.4978400000,NA,24.4826700000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,18.9819900000,NA,37.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0191700000,0.0495800000,NA,NA,NA,NA,32.8303900000,3.4979600000,NA,23.9838500000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,18.5341300000,NA,38.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0151900000,0.0542300000,NA,NA,NA,NA,47.0511400000,3.4958900000,NA,24.3047400000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,18.4614500000,NA,39.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0151900000,0.0542300000,NA,NA,NA,NA,36.2129400000,3.4960100000,NA,23.9878700000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,16.3212500000,NA,40.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0078200000,0.0584300000,NA,NA,NA,NA,44.5069800000,3.4942000000,NA,22.6553900000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,15.9192200000,NA,41.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0078200000,0.0584300000,NA,NA,NA,NA,29.9702200000,3.4943000000,NA,21.5953900000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,14.1443300000,NA,42.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0033800000,0.0621000000,NA,NA,NA,NA,34.6028600000,3.4927600000,NA,20.5929100000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,13.7036000000,NA,43.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0033800000,0.0621000000,NA,NA,NA,NA,21.0361200000,3.4928500000,NA,19.4655200000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,11.7799600000,NA,44.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0013900000,0.0650700000,NA,NA,NA,NA,24.1996000000,3.4916200000,NA,17.6165400000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,11.4581400000,NA,45.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0013900000,0.0650700000,NA,NA,NA,NA,14.4229700000,3.4916900000,NA,16.5782300000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,10.8550400000,NA,46.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007600000,0.0677500000,NA,NA,NA,NA,18.9581500000,3.4905700000,NA,16.3184100000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,10.6817400000,NA,47.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007600000,0.0677500000,NA,NA,NA,NA,11.4798000000,3.4906400000,NA,15.9424400000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,10.5488900000,NA,48.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0008900000,0.0703900000,NA,NA,NA,NA,16.8340500000,3.4895400000,NA,15.9898300000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,10.2602200000,NA,49.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0008900000,0.0703900000,NA,NA,NA,NA,9.8309000000,3.4896000000,NA,14.6866300000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,9.4256300000,NA,50.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004900000,0.0726600000,NA,NA,NA,NA,14.1433100000,3.4886400000,NA,14.2947700000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,9.3911400000,NA,51.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004900000,0.0726600000,NA,NA,NA,NA,8.7079800000,3.4887000000,NA,14.5191700000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,9.3072600000,NA,52.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004600000,0.0749400000,NA,NA,NA,NA,13.4298900000,3.4877300000,NA,14.2195300000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,9.0635000000,NA,53.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004600000,0.0749400000,NA,NA,NA,NA,7.8970900000,3.4877800000,NA,12.9684700000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,9.5557600000,NA,54.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007900000,0.0771600000,NA,NA,NA,NA,12.7753400000,3.4868200000,NA,13.8695600000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,10.0707900000,NA,55.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007900000,0.0771600000,NA,NA,NA,NA,8.7795400000,3.4869000000,NA,17.2283300000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,16.0057000000,NA,56.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0117900000,0.0815200000,NA,NA,NA,NA,23.0054700000,3.4850000000,NA,22.2343400000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,17.0512400000,NA,57.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0117900000,0.0815200000,NA,NA,NA,NA,17.0336500000,3.4851300000,NA,24.9600400000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,21.4577600000,NA,58.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0206900000,0.0870600000,NA,NA,NA,NA,37.9909800000,3.4826600000,NA,26.5266100000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,22.2354800000,NA,59.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0206900000,0.0870600000,NA,NA,NA,NA,31.1213800000,3.4828200000,NA,28.0680700000,NA
