Cont_WSC_DM_roots,plant,N_content_mstruct,Tillers_Photosynthesis_An,mstruct,mstruct_laminae,Cont_WSC_DM_stem,senesced_mstruct,C_N_ratio_shoot,dry_mass_phloem,sum_dry_mass,C_respired_shoot,C_N_ratio,NS_laminae,NS_roots,shoot_roots_mstruct_ratio,C_respired_roots,sum_respi_shoot,N_content_total_DM_shoot,Total_Photosynthesis,Cont_WSC_DM_shoot,sum_C_g,Tillers_Photosynthesis,sum_dry_mass_roots,mstruct_shoot,Cont_WSC_DM_laminae,sum_dry_mass_stem,N_content_roots,sum_respi_roots,Cont_WSC_DM,sum_dry_mass_shoot,NS,N_content_mstruct_shoot,N_content_mstruct_roots,N_content,sum_dry_mass_laminae,shoot_roots_ratio,N_content_shoot,C_exudated,sum_N_g_shoot,NS_stem,sum_NSC_g,Total_Transpiration,mstruct_stem,NNI,NS_shoot,t,axis,sum_N_g
NA,1,NA,NA,2.1417200000,NA,NA,0.0261700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.6137400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6246400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1846000000,NA,NA,NA,0.0236300000,NA,NA,NA,41.0000000000,MS,NA
NA,1,NA,NA,2.1416600000,NA,NA,0.0277400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7046500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4907700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4887600000,NA,NA,NA,0.0112800000,NA,NA,NA,42.0000000000,MS,NA
NA,1,NA,NA,2.1418300000,NA,NA,0.0277400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7007200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9669700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5931700000,NA,NA,NA,0.0112800000,NA,NA,NA,43.0000000000,MS,NA
NA,1,NA,NA,2.1417900000,NA,NA,0.0288700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7308300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0987800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7615300000,NA,NA,NA,0.0048400000,NA,NA,NA,44.0000000000,MS,NA
NA,1,NA,NA,2.1419300000,NA,NA,0.0288700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4295800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6906900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7375700000,NA,NA,NA,0.0048400000,NA,NA,NA,45.0000000000,MS,NA
NA,1,NA,NA,2.1419000000,NA,NA,0.0297100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0338200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5173100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7686200000,NA,NA,NA,0.0025800000,NA,NA,NA,46.0000000000,MS,NA
NA,1,NA,NA,2.1420300000,NA,NA,0.0297100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2740100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8896900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4059500000,NA,NA,NA,0.0025800000,NA,NA,NA,47.0000000000,MS,NA
NA,1,NA,NA,2.1420000000,NA,NA,0.0305500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1282700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5026000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3834400000,NA,NA,NA,0.0027300000,NA,NA,NA,48.0000000000,MS,NA
NA,1,NA,NA,2.1421100000,NA,NA,0.0305500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0178200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3526300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1403900000,NA,NA,NA,0.0027300000,NA,NA,NA,49.0000000000,MS,NA
NA,1,NA,NA,2.1420800000,NA,NA,0.0313400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4025000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1739300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9398100000,NA,NA,NA,0.0025200000,NA,NA,NA,50.0000000000,MS,NA
NA,1,NA,NA,2.1421800000,NA,NA,0.0313400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2411000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9467300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9529500000,NA,NA,NA,0.0025200000,NA,NA,NA,51.0000000000,MS,NA
NA,1,NA,NA,2.1421600000,NA,NA,0.0320800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5995700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8244900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5037500000,NA,NA,NA,0.0023000000,NA,NA,NA,52.0000000000,MS,NA
NA,1,NA,NA,2.1422600000,NA,NA,0.0320800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7020200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9853100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8390800000,NA,NA,NA,0.0023000000,NA,NA,NA,53.0000000000,MS,NA
NA,1,NA,NA,2.1422300000,NA,NA,0.0329300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9807700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3862200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0870200000,NA,NA,NA,0.0051000000,NA,NA,NA,54.0000000000,MS,NA
NA,1,NA,NA,2.1423600000,NA,NA,0.0329300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9891000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6612400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2442000000,NA,NA,NA,0.0051000000,NA,NA,NA,55.0000000000,MS,NA
NA,1,NA,NA,2.1423200000,NA,NA,0.0339000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7044100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9096400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5748700000,NA,NA,NA,0.0090300000,NA,NA,NA,56.0000000000,MS,NA
NA,1,NA,NA,2.1424900000,NA,NA,0.0339000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6154800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1450000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5577100000,NA,NA,NA,0.0090300000,NA,NA,NA,57.0000000000,MS,NA
NA,1,NA,NA,2.1424400000,NA,NA,0.0352200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6672300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5647300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2999900000,NA,NA,NA,0.0211800000,NA,NA,NA,58.0000000000,MS,NA
NA,1,NA,NA,2.1426400000,NA,NA,0.0352200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9494500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8386600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6705700000,NA,NA,NA,0.0211800000,NA,NA,NA,59.0000000000,MS,NA
NA,1,NA,NA,2.1425900000,NA,NA,0.0367800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2743600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7091700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7878800000,NA,NA,NA,0.0269500000,NA,NA,NA,60.0000000000,MS,NA
NA,1,NA,NA,2.1428100000,NA,NA,0.0367800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5402500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9649700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7547800000,NA,NA,NA,0.0269500000,NA,NA,NA,61.0000000000,MS,NA
NA,1,NA,NA,2.1427700000,NA,NA,0.0384300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6796100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1234400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5934200000,NA,NA,NA,0.0230400000,NA,NA,NA,62.0000000000,MS,NA
NA,1,NA,NA,2.1429800000,NA,NA,0.0384300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2610500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4723900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5556400000,NA,NA,NA,0.0230400000,NA,NA,NA,63.0000000000,MS,NA
NA,1,NA,NA,2.1429400000,NA,NA,0.0400400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6199200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9614600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5735300000,NA,NA,NA,0.0175800000,NA,NA,NA,64.0000000000,MS,NA
NA,1,NA,NA,2.1431500000,NA,NA,0.0400400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8747100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9192300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9695800000,NA,NA,NA,0.0175800000,NA,NA,NA,65.0000000000,MS,NA
NA,1,NA,NA,2.1431200000,NA,NA,0.0412900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.0976900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1421500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5372600000,NA,NA,NA,0.0079300000,NA,NA,NA,66.0000000000,MS,NA
NA,1,NA,NA,2.1432900000,NA,NA,0.0412900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7460500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6976400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6330800000,NA,NA,NA,0.0079300000,NA,NA,NA,67.0000000000,MS,NA
NA,1,NA,NA,2.1432700000,NA,NA,0.0423300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8979400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0729800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3621700000,NA,NA,NA,0.0044600000,NA,NA,NA,68.0000000000,MS,NA
NA,1,NA,NA,2.1434100000,NA,NA,0.0423300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8364800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0185100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9539200000,NA,NA,NA,0.0044600000,NA,NA,NA,69.0000000000,MS,NA
NA,1,NA,NA,2.1434000000,NA,NA,0.0433100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2472300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7760400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6363300000,NA,NA,NA,0.0037000000,NA,NA,NA,70.0000000000,MS,NA
NA,1,NA,NA,2.1435400000,NA,NA,0.0433100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1925900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7218100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3411900000,NA,NA,NA,0.0037000000,NA,NA,NA,71.0000000000,MS,NA
