t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
1431,1,MS,0.70200000,1,323313.66502393,323313.66502393,0.00151112
1432,1,MS,0.91900000,1,323089.18646800,323089.18646800,0.00154030
1433,1,MS,1.11900000,1,322862.24254533,322862.24254533,0.00156764
1434,1,MS,1.32800000,1,322632.67572455,322632.67572455,0.00159669
1435,1,MS,1.47300000,1,322401.79359763,322401.79359763,0.00161714
1436,1,MS,1.62500000,1,322169.46668826,322169.46668826,0.00163883
1437,1,MS,2.06200000,1,321929.60479455,321929.60479455,0.00170268
1438,1,MS,2.90900000,1,321672.55674453,321672.55674453,0.00183296
1439,1,MS,3.75600000,1,321396.54185315,321396.54185315,0.00197232
1440,1,MS,4.88500000,1,321092.38924484,321092.38924484,0.00217316
1441,1,MS,6.45300000,1,320744.27885623,320744.27885623,0.00248319
1442,1,MS,6.67800000,1,320388.60178966,320388.60178966,0.00253085
1443,1,MS,6.56600000,1,320036.40548207,320036.40548207,0.00250702
1444,1,MS,6.34100000,1,319692.17715409,319692.17715409,0.00245977
1445,1,MS,5.78000000,1,319365.91338489,319365.91338489,0.00234548
1446,1,MS,5.33100000,1,319054.13054787,319054.13054787,0.00225752
1447,1,MS,5.21900000,1,318747.78576403,318747.78576403,0.00223606
1448,1,MS,5.33100000,1,318441.23770155,318441.23770155,0.00225752
1449,1,MS,4.99500000,1,318146.10726109,318146.10726109,0.00219369
1450,1,MS,5.10700000,1,317850.93649946,317850.93649946,0.00221478
1451,1,MS,4.88200000,1,317564.11181712,317564.11181712,0.00217260
1452,1,MS,4.32100000,1,317293.22246608,317293.22246608,0.00207060
1453,1,MS,4.43400000,1,317022.15545571,317022.15545571,0.00209078
1454,1,MS,4.20900000,1,316758.61572380,316758.61572380,0.00205077
1455,1,MS,4.77000000,1,316484.54759531,316484.54759531,0.00215187
1456,1,MS,5.10700000,1,316205.07850304,316205.07850304,0.00221478
1457,1,MS,5.21900000,1,315925.59014693,315925.59014693,0.00223606
1458,1,MS,5.66800000,1,315638.02428925,315638.02428925,0.00232325
1459,1,MS,5.44300000,1,315358.63820532,315358.63820532,0.00227918
1460,1,MS,6.00500000,1,315068.50236582,315068.50236582,0.00239072
1461,1,MS,6.45300000,1,314769.96851276,314769.96851276,0.00248319
1462,1,MS,6.90200000,1,314462.40415295,314462.40415295,0.00257913
1463,1,MS,7.57500000,1,314138.81209575,314138.81209575,0.00272929
1464,1,MS,7.01400000,1,313830.80106549,313830.80106549,0.00260358
1465,1,MS,9.59500000,1,313443.72801716,313443.72801716,0.00322919
1466,1,MS,9.03400000,1,313062.08566805,313062.08566805,0.00308259
1467,1,MS,9.48300000,1,312655.02656513,312655.02656513,0.00319942
1468,1,MS,8.47300000,1,312273.57661468,312273.57661468,0.00294208
1469,1,MS,6.90200000,1,311935.84411151,311935.84411151,0.00257913
1470,1,MS,5.78000000,1,311628.29537635,311628.29537635,0.00234548
1471,1,MS,4.20900000,1,311359.99384642,311359.99384642,0.00205077
1472,1,MS,3.53600000,1,311107.73907198,311107.73907198,0.00193522
1473,1,MS,4.32100000,1,310839.27591316,310839.27591316,0.00207060
1474,1,MS,4.88200000,1,310559.47528172,310559.47528172,0.00217260
1475,1,MS,4.65800000,1,310286.90252663,310286.90252663,0.00213133
1476,1,MS,3.76000000,1,310036.25271308,310036.25271308,0.00197300
1477,1,MS,3.87300000,1,309784.85081518,309784.85081518,0.00199231
1478,1,MS,4.09700000,1,309530.37902923,309530.37902923,0.00203111
1479,1,MS,4.77000000,1,309262.80768035,309262.80768035,0.00215187
1480,1,MS,4.32100000,1,309007.25883099,309007.25883099,0.00207060
1481,1,MS,4.54600000,1,308748.73180544,308748.73180544,0.00211097
1482,1,MS,5.10700000,1,308479.76747391,308479.76747391,0.00221478
1483,1,MS,5.10700000,1,308213.01870132,308213.01870132,0.00221478
1484,1,MS,5.55600000,1,307937.83668269,307937.83668269,0.00230121
1485,1,MS,6.11700000,1,307649.65951177,307649.65951177,0.00241354
1486,1,MS,7.01400000,1,307336.53236777,307336.53236777,0.00260358
1487,1,MS,4.54600000,1,307080.25427376,307080.25427376,0.00211097
1488,1,MS,6.56600000,1,306772.90874540,306772.90874540,0.00250702
1489,1,MS,5.78000000,1,306481.11527059,306481.11527059,0.00234548
1490,1,MS,6.90200000,1,306155.72526563,306155.72526563,0.00257913
1491,1,MS,6.67800000,1,305831.96688363,305831.96688363,0.00253085
1492,1,MS,6.90200000,1,305498.50110664,305498.50110664,0.00257913
1493,1,MS,6.79000000,1,305166.83809433,305166.83809433,0.00255488
1494,1,MS,6.22900000,1,304850.90250680,304850.90250680,0.00243655
1495,1,MS,5.66800000,1,304550.99036439,304550.99036439,0.00232325
1496,1,MS,5.44300000,1,304258.49191475,304258.49191475,0.00227918
1497,1,MS,6.34100000,1,303945.10314702,303945.10314702,0.00245977
1498,1,MS,6.90200000,1,303619.28165457,303619.28165457,0.00257913
1499,1,MS,5.42727273,1,303334.05738054,303334.05738054,0.00227613
1500,1,MS,5.53636364,1,303048.58222132,303048.58222132,0.00229737
1501,1,MS,5.65454546,1,302762.83172755,302762.83172755,0.00232059
1502,1,MS,5.80606061,1,302476.11589607,302476.11589607,0.00235068
1503,1,MS,5.97272727,1,302188.17107360,302188.17107360,0.00238418
1504,1,MS,6.15454546,1,301898.68624321,301898.68624321,0.00242123
1505,1,MS,6.32424242,1,301607.99632486,301607.99632486,0.00245628
1506,1,MS,6.52727273,1,301315.36525011,301315.36525011,0.00249883
1507,1,MS,6.72727273,1,301020.92226205,301020.92226205,0.00254140
1508,1,MS,6.90303030,1,300725.16435074,300725.16435074,0.00257935
1509,1,MS,7.06060606,1,300427.56052241,300427.56052241,0.00261382
1510,1,MS,7.20000000,1,300125.80570108,300125.80570108,0.00264466
1511,1,MS,7.30000000,1,299818.32026304,299818.32026304,0.00266699
1512,1,MS,7.37272727,1,299503.34953022,299503.34953022,0.00268334
1513,1,MS,7.48181818,1,299178.06902068,299178.06902068,0.00270803
1514,1,MS,7.54545455,1,298842.58931033,298842.58931033,0.00272253
1515,1,MS,7.62727273,1,298495.13089280,298495.13089280,0.00274128
1516,1,MS,7.68787879,1,298138.93178253,298138.93178253,0.00275524
1517,1,MS,7.75454545,1,297778.73440462,297778.73440462,0.00277067
1518,1,MS,7.81515152,1,297417.50191193,297417.50191193,0.00278477
1519,1,MS,7.87272727,1,297056.72875049,297056.72875049,0.00279823
1520,1,MS,7.94242424,1,296696.97732455,296696.97732455,0.00281459
1521,1,MS,8.02727273,1,296338.40378720,296338.40378720,0.00283464
1522,1,MS,8.12424242,1,295980.95125330,295980.95125330,0.00285770
1523,1,MS,8.20303030,1,295625.27259571,295625.27259571,0.00287657
1524,1,MS,8.27272727,1,295271.66195375,295271.66195375,0.00289335
1525,1,MS,8.35757576,1,294919.73797695,294919.73797695,0.00291391
1526,1,MS,8.45151515,1,294569.30351730,294569.30351730,0.00293682
1527,1,MS,8.55454545,1,294220.28789864,294220.28789864,0.00296214
1528,1,MS,8.64545454,1,293873.08457252,293873.08457252,0.00298464
1529,1,MS,8.73030303,1,293527.91701080,293527.91701080,0.00300578
1530,1,MS,8.80909091,1,293184.91783469,293184.91783469,0.00302554
1531,1,MS,8.89696970,1,292843.78976963,292843.78976963,0.00304771
1532,1,MS,8.98787879,1,292504.24574572,292504.24574572,0.00307081
1533,1,MS,9.08181818,1,292165.65665556,292165.65665556,0.00309484
1534,1,MS,9.16969697,1,291826.47791683,291826.47791683,0.00311748
1535,1,MS,9.24545454,1,291484.77713395,291484.77713395,0.00313712
1536,1,MS,9.30000000,1,291139.90747808,291139.90747808,0.00315133
1537,1,MS,9.33333333,1,290792.00729307,290792.00729307,0.00316004
1538,1,MS,9.35454546,1,290440.68061497,290440.68061497,0.00316559
1539,1,MS,9.35454546,1,290087.45219726,290087.45219726,0.00316559
1540,1,MS,9.34545455,1,289734.80931515,289734.80931515,0.00316321
1541,1,MS,9.35151515,1,289383.71258361,289383.71258361,0.00316480
1542,1,MS,9.35454546,1,289035.59720235,289035.59720235,0.00316559
1543,1,MS,9.36060606,1,288691.14680566,288691.14680566,0.00316718
1544,1,MS,9.38787879,1,288350.13275767,288350.13275767,0.00317434
1545,1,MS,9.41818182,1,288012.64584863,288012.64584863,0.00318231
1546,1,MS,9.48484849,1,287677.91512532,287677.91512532,0.00319991
1547,1,MS,9.54848485,1,287346.16005981,287346.16005981,0.00321680
1548,1,MS,9.61212121,1,287017.40366540,287017.40366540,0.00323376
1549,1,MS,9.66969697,1,286691.84749365,286691.84749365,0.00324918
1550,1,MS,9.73939394,1,286369.32932046,286369.32932046,0.00326793
1551,1,MS,9.80303030,1,286050.12198514,286050.12198514,0.00328515
1552,1,MS,9.86666667,1,285734.28577500,285734.28577500,0.00330244
1553,1,MS,9.93636364,1,285421.68219892,285421.68219892,0.00332147
1554,1,MS,10.00909091,1,285112.21749994,285112.21749994,0.00334144
1555,1,MS,10.07575758,1,284806.08574882,284806.08574882,0.00335984
1556,1,MS,10.15151515,1,284503.05018381,284503.05018381,0.00338086
1557,1,MS,10.20000000,1,284202.97779939,284202.97779939,0.00339438
1558,1,MS,10.21515152,1,283904.39693172,283904.39693172,0.00339862
1559,1,MS,10.19090909,1,283605.37145692,283605.37145692,0.00339184
1560,1,MS,10.11515152,1,283300.89651167,283300.89651167,0.00337076
1561,1,MS,10.05151515,1,282985.71684492,282985.71684492,0.00335314
1562,1,MS,9.95454545,1,282659.26530265,282659.26530265,0.00332645
1563,1,MS,9.82121212,1,282324.21642085,282324.21642085,0.00329008
1564,1,MS,9.67575758,1,281981.05045777,281981.05045777,0.00325081
1565,1,MS,9.53333333,1,281634.22030452,281634.22030452,0.00321277
1566,1,MS,9.39696970,1,281289.30363187,281289.30363187,0.00317673
1567,1,MS,9.26363636,1,280949.01047269,280949.01047269,0.00314185
1568,1,MS,9.13636364,1,280614.35507327,280614.35507327,0.00310888
1569,1,MS,9.00909091,1,280285.88901010,280285.88901010,0.00307622
1570,1,MS,8.87878788,1,279963.98940394,279963.98940394,0.00304311
1571,1,MS,8.76363636,1,279648.39315879,279648.39315879,0.00301413
1572,1,MS,8.65454545,1,279338.98688201,279338.98688201,0.00298690
1573,1,MS,8.55454545,1,279035.41368015,279035.41368015,0.00296214
1574,1,MS,8.46969697,1,278737.30298782,278737.30298782,0.00294127
1575,1,MS,8.42121212,1,278443.86183787,278443.86183787,0.00292941
1576,1,MS,8.39393939,1,278154.57637609,278154.57637609,0.00292276
1577,1,MS,8.38787879,1,277869.01819823,277869.01819823,0.00292128
1578,1,MS,8.37575758,1,277587.32903987,277587.32903987,0.00291833
1579,1,MS,8.34545455,1,277309.86298167,277309.86298167,0.00291096
1580,1,MS,8.30303030,1,277036.35774032,277036.35774032,0.00290068
1581,1,MS,8.27272727,1,276765.84077485,276765.84077485,0.00289335
1582,1,MS,8.23333333,1,276497.65108679,276497.65108679,0.00288386
1583,1,MS,8.18181818,1,276230.65797163,276230.65797163,0.00287148
1584,1,MS,8.14545454,1,275963.60856100,275963.60856100,0.00286277
1585,1,MS,8.11212121,1,275696.64654756,275696.64654756,0.00285481
