axis,sum_N_g_shoot,Cont_WSC_DM_stem,sum_N_g,N_content_shoot,senesced_mstruct,C_N_ratio,Tillers_Photosynthesis_An,plant,N_content,NNI,NS_roots,mstruct_stem,Cont_WSC_DM_laminae,N_content_mstruct,N_content_total_DM_shoot,sum_dry_mass_roots,C_N_ratio_shoot,mstruct_shoot,sum_C_g,sum_NSC_g,NS_laminae,Tillers_Photosynthesis,NS_stem,C_exudated,sum_dry_mass,Cont_WSC_DM_roots,NS,Cont_WSC_DM,sum_respi_shoot,sum_dry_mass_laminae,shoot_roots_ratio,N_content_roots,dry_mass_phloem,shoot_roots_mstruct_ratio,N_content_mstruct_roots,t,C_respired_shoot,Total_Transpiration,sum_respi_roots,Total_Photosynthesis,NS_shoot,sum_dry_mass_shoot,mstruct,sum_dry_mass_stem,N_content_mstruct_shoot,mstruct_laminae,Cont_WSC_DM_shoot,C_respired_roots
MS,0.00140575,14.934082666955433,0.00200214,4.16723695,0.00000000,16.12603641,0.00000000,1,2.61072322,0.94709931,17.50505484,0.00696835,9.664047375406165,3.59810287,4.16723695,0.04295555,10.08982506,0.02020810,0.03228654,0.00780307,40.54287207,0.00000000,39.22452191,0.15188784,0.07668900,12.7153786054717,27.44167373,12.16109889292735,0.37074654,0.02226773,0.78531091,1.38837601,0.00504089,0.57026799,1.68298313,20.00000000,0.60144628,0.00002971,0.18464960,0.00000000,40.09477554,0.03373346,0.05564426,0.01146573,6.95638316,0.01323975,11.45528963171716,0.76346243
MS,0.00140634,14.85143093311966,0.00200432,4.16756987,0.00000000,16.10520169,0.71180040,1,2.61412295,0.94717497,17.34076633,0.00697391,9.630976486348382,3.59765432,4.16756987,0.04292795,10.09048307,0.02022794,0.03227998,0.00776676,40.50752857,1.12924977,39.17907682,0.16848335,0.07667275,12.535550557386593,27.33812862,12.037916267755934,0.47155254,0.02227850,0.78607979,1.39298972,0.00499491,0.57005932,1.68521974,21.00000000,0.70831609,0.00003017,0.18543406,1.12924977,40.05612802,0.03374479,0.05571185,0.01146629,6.95245358,0.01325403,11.404858025987748,0.77449608
MS,0.00140723,14.845460679152204,0.00200649,4.16280017,0.00000000,16.09738340,3.01973986,1,2.61528439,0.94609095,17.20518192,0.00697966,9.757096148909806,3.59706900,4.16280017,0.04291668,10.10214895,0.02024842,0.03229921,0.00775548,40.57551135,3.26993438,39.18124902,0.19415991,0.07672161,12.390884591755297,27.29401658,11.991516376232763,0.41555372,0.02232878,0.78768755,1.39632547,0.00497284,0.56985165,1.68648897,22.00000000,0.66003752,0.00005131,0.18682627,3.26993438,40.10218478,0.03380493,0.05578120,0.01147616,6.94983641,0.01326876,11.484502885360842,0.78954742
MS,0.00140788,14.827965089252986,0.00200843,4.15879642,0.00000000,16.08995714,3.02586692,1,2.61640068,0.94518100,17.07586711,0.00698978,9.82685035180374,3.59568760,4.15879642,0.04291022,10.11210769,0.02027379,0.03231560,0.00773865,40.60565388,3.27397309,39.15160385,0.22124866,0.07676321,12.252646176246659,27.23503917,11.931247467109303,0.41522024,0.02236578,0.78892604,1.39956451,0.00495482,0.56976176,1.68776503,23.00000000,0.73584624,0.00005104,0.18863944,3.27397309,40.11225654,0.03385299,0.05585672,0.01148721,6.94431979,0.01328401,11.523859835993179,0.80709270
MS,0.00140839,14.780894926674984,0.00201035,4.15815287,0.00000000,16.07611596,1.88799611,1,2.61856295,0.94503474,16.94235665,0.00700039,9.789872570220062,3.59414879,4.15815287,0.04290274,10.11396091,0.02030008,0.03231869,0.00770769,40.56339086,2.21876375,39.09625958,0.24918351,0.07677319,12.108561297412216,27.14372428,11.832849597159436,0.41259713,0.02237626,0.78947049,1.40310214,0.00493009,0.56968282,1.68931128,24.00000000,0.74472799,0.00004099,0.18993673,2.21876375,40.06550887,0.03387045,0.05593409,0.01149419,6.93782960,0.01329969,11.483613364573825,0.81988856
MS,0.00140899,14.78530973472982,0.00201224,4.15245763,0.00000000,16.07458629,4.10130934,1,2.61873362,0.94374037,16.83328757,0.00701124,9.894648401593393,3.59247216,4.15245763,0.04290854,10.12808913,0.02032693,0.03234585,0.00770033,40.61596537,4.29486404,39.07753191,0.27932311,0.07684001,11.992043546476685,27.10497119,11.798346450570106,0.42942430,0.02242300,0.79078605,1.40588606,0.00492290,0.56961117,1.69044323,25.00000000,0.76938536,0.00005522,0.19053287,4.29486404,40.09417805,0.03393147,0.05601255,0.01150847,6.93164286,0.01331568,11.553403971619506,0.82707972
MS,0.00140975,14.81350254168457,0.00201408,4.14573620,0.00000000,16.07873935,5.12988059,1,2.61799875,0.94221277,16.74752760,0.00702235,10.027625683183118,3.59065139,4.14573620,0.04292704,10.14473766,0.02035438,0.03238379,0.00770322,40.68892202,5.28189160,39.07746842,0.31771298,0.07693186,11.902629237325042,27.08847315,11.79092205165168,0.45393426,0.02247813,0.79215402,1.40779539,0.00493171,0.56954721,1.69099530,26.00000000,0.80235742,0.00007647,0.19139217,5.28189160,40.14268399,0.03400482,0.05609219,0.01152669,6.92603089,0.01333202,11.649905048263335,0.83519914
MS,0.00141133,14.79490036386964,0.00201706,4.14567970,0.00000000,16.06535151,3.00338916,1,2.62009299,0.94219993,16.65065282,0.00703380,9.980747701722791,3.59023338,4.14567970,0.04294091,10.14508663,0.02039087,0.03240477,0.00768476,40.65028475,3.27227738,39.03607895,0.35328123,0.07698426,11.797320662116213,27.02165258,11.715508737939077,0.44155931,0.02250570,0.79279528,1.41061504,0.00492565,0.56972119,1.69241283,27.00000000,0.80109947,0.00004630,0.19309386,3.27227738,40.10321349,0.03404335,0.05618184,0.01153765,6.92137249,0.01335707,11.612314475566878,0.84862112
MS,0.00141182,14.704747945846341,0.00201911,4.14976947,0.00000000,16.04328339,0.65033465,1,2.62362030,0.94312943,16.51828002,0.00704553,9.782091517391805,3.58833038,4.14976947,0.04293720,10.13549907,0.02042396,0.03239309,0.00763487,40.49866658,1.12435943,38.93267790,0.37858198,0.07695877,11.652673910665891,26.88465028,11.563717933569432,0.43879430,0.02248426,0.79235651,1.41436607,0.00488613,0.56979005,1.69422249,28.00000000,0.83378158,0.00002774,0.19408984,1.12435943,39.96761246,0.03402157,0.05626867,0.01153731,6.91255112,0.01337844,11.451450316877892,0.85691525
MS,0.00141230,14.604256645165314,0.00202113,4.15563757,0.00000000,16.01489543,0.00000000,1,2.62817523,0.94446308,16.35324318,0.00705745,9.539141789382695,3.58647818,4.15563757,0.04291701,10.12141047,0.02045536,0.03236811,0.00757233,40.31643143,0.00000000,38.82763764,0.38995991,0.07690223,11.47392628776078,26.71988795,11.37876746809258,0.42896612,0.02244824,0.79188240,1.41860468,0.00481899,0.56980794,1.69594702,29.00000000,0.80377543,0.00002443,0.19446453,0.00000000,39.81102964,0.03398522,0.05635404,0.01153699,6.90431742,0.01339791,11.25859960087771,0.86013779
