t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
1250,1,MS,8.30000000,1,2717243.11190502,2717243.11190502,0.00289995
1251,1,MS,7.60000000,1,2716780.46837512,2716780.46837512,0.00273502
1252,1,MS,6.90000000,1,2716353.06117206,2716353.06117206,0.00257869
1253,1,MS,6.20000000,1,2715957.62297559,2715957.62297559,0.00243057
1254,1,MS,5.60000000,1,2715587.89657005,2715587.89657005,0.00230985
1255,1,MS,5.50000000,1,2715225.16243181,2715225.16243181,0.00229027
1256,1,MS,6.10000000,1,2714842.39365169,2714842.39365169,0.00241006
1257,1,MS,10.20000000,1,2714298.32329137,2714298.32329137,0.00339438
1258,1,MS,15.10000000,1,2713482.22174506,2713482.22174506,0.00504298
1259,1,MS,16.00000000,1,2712575.03032999,2712575.03032999,0.00541463
1260,1,MS,15.90000000,1,2711617.89730431,2711617.89730431,0.00537215
1261,1,MS,16.50000000,1,2710549.00640363,2710549.00640363,0.00563156
1262,1,MS,17.40000000,1,2709336.31752145,2709336.31752145,0.00604174
1263,1,MS,18.10000000,1,2707996.93346456,2707996.93346456,0.00637899
1264,1,MS,18.40000000,1,2706591.48827688,2706591.48827688,0.00652858
1265,1,MS,17.90000000,1,2705234.40087984,2705234.40087984,0.00628096
1266,1,MS,16.70000000,1,2704015.03163407,2704015.03163407,0.00572050
1267,1,MS,15.50000000,1,2702931.47113200,2702931.47113200,0.00520523
1268,1,MS,14.60000000,1,2701952.10636866,2701952.10636866,0.00484659
1269,1,MS,13.70000000,1,2701069.31878398,2701069.31878398,0.00451041
1270,1,MS,12.90000000,1,2700268.91007129,2700268.91007129,0.00422944
1271,1,MS,12.10000000,1,2699542.35824467,2699542.35824467,0.00396443
1272,1,MS,11.40000000,1,2698876.90874871,2698876.90874871,0.00374500
1273,1,MS,10.70000000,1,2698266.87436086,2698266.87436086,0.00353667
1274,1,MS,9.90000000,1,2697711.54636621,2697711.54636621,0.00331153
1275,1,MS,9.10000000,1,2697205.32882168,2697205.32882168,0.00309951
1276,1,MS,8.40000000,1,2696739.38901325,2696739.38901325,0.00292423
1277,1,MS,7.90000000,1,2696303.13837250,2696303.13837250,0.00280462
1278,1,MS,7.40000000,1,2695894.06296758,2695894.06296758,0.00268949
1279,1,MS,7.30000000,1,2695494.72257528,2695494.72257528,0.00266699
1280,1,MS,8.00000000,1,2695071.19855950,2695071.19855950,0.00282818
1281,1,MS,12.60000000,1,2694448.99444672,2694448.99444672,0.00412823
1282,1,MS,18.00000000,1,2693493.00872729,2693493.00872729,0.00632981
1283,1,MS,19.90000000,1,2692357.39333533,2692357.39333533,0.00732406
1284,1,MS,20.00000000,1,2691139.47219017,2691139.47219017,0.00738000
1285,1,MS,20.30000000,1,2689799.95525205,2689799.95525205,0.00755008
1286,1,MS,20.50000000,1,2688345.62115779,2688345.62115779,0.00766536
1287,1,MS,20.90000000,1,2686768.39060343,2686768.39060343,0.00790052
1288,1,MS,21.00000000,1,2685134.25438592,2685134.25438592,0.00796028
1289,1,MS,20.40000000,1,2683571.38263760,2683571.38263760,0.00760753
1290,1,MS,19.30000000,1,2682163.32948683,2682163.32948683,0.00699616
1291,1,MS,18.10000000,1,2680923.32595958,2680923.32595958,0.00637899
1292,1,MS,17.00000000,1,2679828.88733547,2679828.88733547,0.00585625
1293,1,MS,16.10000000,1,2678850.59448833,2678850.59448833,0.00545741
1294,1,MS,15.30000000,1,2677970.95603483,2677970.95603483,0.00512353
1295,1,MS,14.30000000,1,2677191.65275804,2677191.65275804,0.00473210
1296,1,MS,13.50000000,1,2676489.39628939,2676489.39628939,0.00443862
1297,1,MS,12.60000000,1,2675859.49317262,2675859.49317262,0.00412823
1298,1,MS,11.80000000,1,2675289.19021000,2675289.19021000,0.00386900
1299,1,MS,11.20000000,1,2674763.53128441,2674763.53128441,0.00368437
1300,1,MS,10.80000000,1,2674270.62177002,2674270.62177002,0.00356577
1301,1,MS,10.60000000,1,2673801.09157610,2673801.09157610,0.00350779
1302,1,MS,10.60000000,1,2673346.57355939,2673346.57355939,0.00350779
1303,1,MS,10.90000000,1,2672895.28563904,2672895.28563904,0.00359509
1304,1,MS,11.70000000,1,2672426.30736690,2672426.30736690,0.00383765
1305,1,MS,12.50000000,1,2671934.66056343,2671934.66056343,0.00409499
1306,1,MS,13.40000000,1,2671406.00970872,2671406.00970872,0.00440312
1307,1,MS,14.70000000,1,2670808.18428613,2670808.18428613,0.00488531
1308,1,MS,15.00000000,1,2670179.30384873,2670179.30384873,0.00500314
1309,1,MS,15.30000000,1,2669518.26254102,2669518.26254102,0.00512353
1310,1,MS,14.80000000,1,2668871.47482198,2668871.47482198,0.00492431
1311,1,MS,14.10000000,1,2668255.03658284,2668255.03658284,0.00465713
1312,1,MS,13.40000000,1,2667672.24227736,2667672.24227736,0.00440312
1313,1,MS,12.80000000,1,2667120.14709453,2667120.14709453,0.00419546
1314,1,MS,12.20000000,1,2666598.99814143,2666598.99814143,0.00399671
1315,1,MS,11.80000000,1,2666101.09287326,2666101.09287326,0.00386900
1316,1,MS,11.50000000,1,2665623.48969752,2665623.48969752,0.00377566
1317,1,MS,11.30000000,1,2665163.16082943,2665163.16082943,0.00371457
1318,1,MS,11.10000000,1,2664720.36636499,2664720.36636499,0.00365439
1319,1,MS,10.90000000,1,2664294.80549918,2664294.80549918,0.00359509
1320,1,MS,10.30000000,1,2663898.90034716,2663898.90034716,0.00342242
1321,1,MS,9.70000000,1,2663530.05154610,2663530.05154610,0.00325732
1322,1,MS,9.00000000,1,2663188.88508932,2663188.88508932,0.00307390
1323,1,MS,8.30000000,1,2662872.85296955,2662872.85296955,0.00289995
1324,1,MS,7.60000000,1,2662579.69723448,2662579.69723448,0.00273502
1325,1,MS,7.20000000,1,2662300.69066363,2662300.69066363,0.00264466
1326,1,MS,6.90000000,1,2662032.69751732,2662032.69751732,0.00257869
1327,1,MS,6.80000000,1,2661769.76934097,2661769.76934097,0.00255704
1328,1,MS,7.50000000,1,2661492.03931505,2661492.03931505,0.00271217
1329,1,MS,10.50000000,1,2661135.65620119,2661135.65620119,0.00347912
1330,1,MS,14.50000000,1,2660639.51094295,2660639.51094295,0.00480815
1331,1,MS,16.20000000,1,2660046.88348884,2660046.88348884,0.00550049
1332,1,MS,16.30000000,1,2659389.65153268,2659389.65153268,0.00554387
1333,1,MS,16.50000000,1,2658630.00987484,2658630.00987484,0.00563156
1334,1,MS,16.50000000,1,2657764.28294075,2657764.28294075,0.00563156
1335,1,MS,16.50000000,1,2656793.22350084,2656793.22350084,0.00563156
1336,1,MS,16.20000000,1,2655755.93900197,2655755.93900197,0.00550049
1337,1,MS,15.40000000,1,2654719.38192384,2654719.38192384,0.00516423
1338,1,MS,13.80000000,1,2653772.06201250,2653772.06201250,0.00454669
1339,1,MS,12.30000000,1,2652916.28397723,2652916.28397723,0.00402923
1340,1,MS,11.00000000,1,2652140.40989775,2652140.40989775,0.00362463
1341,1,MS,9.80000000,1,2651436.92464083,2651436.92464083,0.00328432
1342,1,MS,8.70000000,1,2650797.05527631,2650797.05527631,0.00299822
1343,1,MS,7.70000000,1,2650211.87544662,2650211.87544662,0.00275804
1344,1,MS,6.80000000,1,2649673.07619793,2649673.07619793,0.00255704
1345,1,MS,6.20000000,1,2649164.98499174,2649164.98499174,0.00243057
1346,1,MS,5.80000000,1,2648678.32069504,2648678.32069504,0.00234947
1347,1,MS,5.60000000,1,2648204.74800569,2648204.74800569,0.00230985
1348,1,MS,5.30000000,1,2647748.39438651,2647748.39438651,0.00225157
1349,1,MS,4.80000000,1,2647315.89121814,2647315.89121814,0.00215741
1350,1,MS,4.30000000,1,2646905.80869354,2646905.80869354,0.00206687
1351,1,MS,4.50000000,1,2646492.46606988,2646492.46606988,0.00210266
1352,1,MS,5.60000000,1,2646041.31624901,2646041.31624901,0.00230985
1353,1,MS,7.50000000,1,2645512.16654984,2645512.16654984,0.00271217
1354,1,MS,9.40000000,1,2644885.26820928,2644885.26820928,0.00317753
1355,1,MS,11.30000000,1,2644130.63372041,2644130.63372041,0.00371457
1356,1,MS,12.70000000,1,2643248.58237231,2643248.58237231,0.00416172
1357,1,MS,13.00000000,1,2642298.67907618,2642298.67907618,0.00426367
1358,1,MS,13.30000000,1,2641281.50476486,2641281.50476486,0.00436788
1359,1,MS,13.30000000,1,2640228.56170706,2640228.56170706,0.00436788
1360,1,MS,12.80000000,1,2639190.38801883,2639190.38801883,0.00419546
1361,1,MS,12.10000000,1,2638192.51062058,2638192.51062058,0.00396443
1362,1,MS,11.50000000,1,2637234.89637941,2637234.89637941,0.00377566
1363,1,MS,11.10000000,1,2636310.55992030,2636310.55992030,0.00365439
1364,1,MS,10.80000000,1,2635418.71276007,2635418.71276007,0.00356577
1365,1,MS,10.40000000,1,2634569.55154805,2634569.55154805,0.00345066
1366,1,MS,10.10000000,1,2633757.15063019,2633757.15063019,0.00336656
1367,1,MS,10.00000000,1,2632969.58564678,2632969.58564678,0.00333894
1368,1,MS,9.80000000,1,2632213.71176957,2632213.71176957,0.00328432
1369,1,MS,9.70000000,1,2631483.23896448,2631483.23896448,0.00325732
1370,1,MS,9.60000000,1,2630778.08709623,2630778.08709623,0.00323052
1371,1,MS,9.70000000,1,2630087.06199014,2630087.06199014,0.00325732
1372,1,MS,9.70000000,1,2629415.79405743,2629415.79405743,0.00325732
1373,1,MS,9.60000000,1,2628769.29196123,2628769.29196123,0.00323052
1374,1,MS,8.90000000,1,2628176.09964979,2628176.09964979,0.00304848
1375,1,MS,8.50000000,1,2627617.26045658,2627617.26045658,0.00294871
1376,1,MS,8.60000000,1,2627066.14721072,2627066.14721072,0.00297337
1377,1,MS,10.90000000,1,2626413.18270082,2626413.18270082,0.00359509
1378,1,MS,12.90000000,1,2625653.77354734,2625653.77354734,0.00422944
1379,1,MS,11.90000000,1,2624941.52566163,2624941.52566163,0.00390057
1380,1,MS,11.00000000,1,2624256.88695743,2624256.88695743,0.00362463
1381,1,MS,10.10000000,1,2623589.16101292,2623589.16101292,0.00336656
1382,1,MS,10.70000000,1,2622851.07909918,2622851.07909918,0.00353667
1383,1,MS,11.10000000,1,2622059.28138324,2622059.28138324,0.00365439
1384,1,MS,10.30000000,1,2621296.77556694,2621296.77556694,0.00342242
1385,1,MS,9.80000000,1,2620549.46554804,2620549.46554804,0.00328432
1386,1,MS,8.70000000,1,2619857.52111858,2619857.52111858,0.00299822
1387,1,MS,7.50000000,1,2619225.73073030,2619225.73073030,0.00271217
1388,1,MS,6.50000000,1,2618641.81430102,2618641.81430102,0.00249307
1389,1,MS,5.80000000,1,2618090.64420829,2618090.64420829,0.00234947
1390,1,MS,5.10000000,1,2617571.84036411,2617571.84036411,0.00221346
1391,1,MS,4.40000000,1,2617084.27158680,2617084.27158680,0.00208469
