t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
1050,1,MS,2819190.29580265,8.80000000,0.00302325,2819190.29580265,1
1051,1,MS,2818975.83911921,8.40000000,0.00292423,2818975.83911921,1
1052,1,MS,2818767.63507248,8.10000000,0.00285192,2818767.63507248,1
1053,1,MS,2818567.64147416,7.70000000,0.00275804,2818567.64147416,1
1054,1,MS,2818374.33102807,7.40000000,0.00268949,2818374.33102807,1
1055,1,MS,2818187.77094830,7.10000000,0.00262250,2818187.77094830,1
1056,1,MS,2818006.39772755,6.90000000,0.00257869,2818006.39772755,1
1057,1,MS,2817831.70859732,6.60000000,0.00251423,2817831.70859732,1
1058,1,MS,2817663.53348825,6.30000000,0.00245125,2817663.53348825,1
1059,1,MS,2817503.03510215,5.90000000,0.00236951,2817503.03510215,1
1060,1,MS,2817347.26963421,5.70000000,0.00232958,2817347.26963421,1
1061,1,MS,2817197.32404793,5.40000000,0.00227084,2817197.32404793,1
1062,1,MS,2817055.29381399,4.90000000,0.00217595,2817055.29381399,1
1063,1,MS,2816915.81509542,4.80000000,0.00215741,2816915.81509542,1
1064,1,MS,2816770.63548443,5.30000000,0.00225157,2816770.63548443,1
1065,1,MS,2816605.76482423,6.60000000,0.00251423,2816605.76482423,1
1066,1,MS,2816345.40404335,11.70000000,0.00383765,2816345.40404335,1
1067,1,MS,2816040.33353145,13.00000000,0.00426367,2816040.33353145,1
1068,1,MS,2815703.32745802,13.40000000,0.00440312,2815703.32745802,1
1069,1,MS,2815315.13838822,14.20000000,0.00469448,2815315.13838822,1
1070,1,MS,2814881.42493166,14.60000000,0.00484659,2814881.42493166,1
1071,1,MS,2814390.97907744,15.20000000,0.00508311,2814390.97907744,1
1072,1,MS,2813867.80738561,15.30000000,0.00512353,2813867.80738561,1
1073,1,MS,2813356.07331319,14.60000000,0.00484659,2813356.07331319,1
1074,1,MS,2812882.41674678,13.40000000,0.00440312,2812882.41674678,1
1075,1,MS,2812448.80466476,12.20000000,0.00399671,2812448.80466476,1
1076,1,MS,2812048.51473363,11.20000000,0.00368437,2812048.51473363,1
1077,1,MS,2811671.77763894,10.50000000,0.00347912,2811671.77763894,1
1078,1,MS,2811318.59442553,9.80000000,0.00328432,2811318.59442553,1
1079,1,MS,2810985.61647265,9.20000000,0.00312532,2810985.61647265,1
1080,1,MS,2810674.78814419,8.50000000,0.00294871,2810674.78814419,1
1081,1,MS,2810380.22688751,8.00000000,0.00282818,2810380.22688751,1
1082,1,MS,2810101.24569969,7.50000000,0.00271217,2810101.24569969,1
1083,1,MS,2809841.31453494,6.80000000,0.00255704,2809841.31453494,1
1084,1,MS,2809595.11610479,6.30000000,0.00245125,2809595.11610479,1
