t,plant,axis,metamer,organ,element,Ag,Amino_Acids_import,An,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,N_content_total,Nitrates_import,Nresidual,Nstruct,PARa,PARa_prim,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Rd,Regul_S_Fructan,S_Amino_Acids,S_Fructan,S_Proteins,S_Starch,S_Sucrose,Total_Organic_Nitrogen,Tr,Transpiration,Ts,Wmax,age,amino_acids,area_prim,cytokinins,cytokinins_import,fructan,green_area,gs,height,is_growing,is_over,length,max_mstruct,max_proteins,mstruct,nb_replications,nitrates,proteins,senesced_length_element,senesced_mstruct,starch,sucrose,sum_respi,triosesP,width
2,1,MS,1,blade,LeafElement1,18.65101722,0.12624366,18.47901372,0.00000000,3.14546479,206.71258962,3.15503550,0.49201557,9.71379251,0.06743966,0.32652698,0.00000000,0.00002050,948.46248731,NA,13.11536362,0.32326830,0.00023935,0.24811524,0.17200350,0.00000000,79.51109819,0.00000005,5.20399621,256.01973125,2673.59955642,19.70019248,4.51587124,0.00088210,21.89773158,0.00300000,241.20133583,1.28581042,NA,0.41532058,0.04453895,0.00000000,0.00019533,0.55759355,0.04580020,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00019617,16.95009634,0.00000000,0.00000000,1.02041631,20.03705849,0.57162289,0.00128357,0.00232481
2,1,MS,1,sheath,StemElement,1.01258911,0.11527918,1.28840837,0.00000006,2.30406398,13.64391821,2.15882113,0.38209523,0.20890312,0.02598111,0.29816754,0.00000000,0.00000855,454.20609157,NA,1.46543798,0.29535572,0.00000214,0.03125220,0.00978280,0.00000038,174.46731446,0.00026497,5.50972537,17.69826742,260.05005350,3.24982068,2.00367124,0.00080549,21.58792313,NA,241.20133583,0.61186569,NA,0.11832916,0.04067066,0.00000006,0.00040201,0.21501224,0.01425000,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.00142942,2.02724070,0.00000000,0.00000000,0.02804436,4.24773981,0.32661006,0.00003642,0.00448990
2,1,MS,2,blade,LeafElement1,21.07376901,0.16877806,20.87515004,0.00000000,2.60141437,265.12190480,3.71355458,0.67664370,13.72259930,0.07865888,0.43654143,0.00000000,0.00002420,1025.71305372,NA,18.28886223,0.43218402,0.00039831,0.35593599,0.19861897,0.00000000,90.24012613,0.00000003,5.39664762,328.40576330,3152.52693549,27.03779255,4.89194190,0.00117930,22.22168754,0.00330000,161.20133583,1.64707967,NA,0.57584110,0.05954514,0.00000000,0.00024107,0.58753548,0.06174058,False,False,0.09200000,0.00483764,4888.55460724,0.00483764,1.00000000,0.00023949,23.66214145,0.00000000,0.00000000,1.54166397,25.66748559,0.78851832,0.00194811,0.00255729
2,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,5.59998433,6.40865913,0.00000000,1.02587683,0.01242688,0.27510330,0.03035681,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00000376,0.02187307,0.00000000,0.00000040,0.00000000,0.00027618,3.15884334,0.00000000,0.00000000,4.91757714,0.00000000,0.00000000,10.00000000,NA,161.20133583,0.29038955,NA,0.07497373,0.00000000,6.68530238,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.81290187,0.00000000,0.00000000,0.00000000,5.69955767,0.02187683,0.00000000,0.00448990
2,1,MS,2,sheath,StemElement,1.52086148,0.00132972,1.93558663,0.00011920,4.01211405,36.25981228,1.74356819,0.00420864,-0.00197827,0.03075888,0.00343930,0.00000000,0.00000020,289.32582692,NA,0.03861437,0.00340518,0.00000000,0.00063098,0.01423578,0.01500000,85.98939485,9.72077351,3.87422269,45.22298843,634.65078058,0.08837516,1.31737992,0.00000929,17.57808111,NA,161.20133583,0.00706324,NA,0.00223552,0.00046913,0.00011920,0.00000705,0.22500954,0.02875000,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000609,0.06702621,0.00000000,0.00000000,0.00174340,0.09052343,0.00403616,0.00000218,0.00448990
2,1,MS,3,blade,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00400000,0.80089055,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,False,True,0.00099000,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0.00099000,0.00000000,0.00000000,0.00000000,NA,NA,NA
2,1,MS,3,blade,LeafElement1,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00002090,927.25425000,NA,NA,NA,NA,NA,0.27972459,NA,NA,NA,NA,NA,NA,26.17348287,0.11292530,NA,6.69832166,0.00400000,81.20133583,2.24000000,NA,0.46295991,NA,0.00000000,0.00000000,0.05000000,0.05104960,False,True,0.00001000,0.00417081,0.00000000,0.00000000,1.00000000,0.00000000,22.44062573,0.00001000,0.00417081,0.00000000,24.53417647,NA,0.00000000,0.00041484
2,1,MS,3,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,6.10578183,18.71457817,0.00000000,0.00000000,0.08785686,-0.00363667,0.07748870,0.00000000,0.00000000,0.00001010,NA,NA,0.00000000,0.00000000,0.00000000,0.04761957,0.00000000,0.01500000,0.00000000,9.78373337,4.16269213,0.00000000,0.00000000,11.02834517,0.00000000,0.00000000,10.00000000,NA,0.80089055,0.40412933,NA,0.00000000,0.00000000,8.88271000,0.00040835,0.00000000,NA,False,False,0.02895000,0.00201801,4934.92763799,0.00201801,1.00000000,0.00000000,9.90278727,0.00000000,0.00000000,0.00000000,4.61003042,0.04761957,0.00000000,0.00448990
2,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80089055,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001007,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,NA,NA,NA
2,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80089055,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005105,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,NA,NA,NA
