t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
14,1,MS,roots,0.03297696,43.15374758,0.02687453,0.03221860,0.00572092,0.00000117,0.47169506,0.00017908,NA,0.10484211,0.00000000,NA,NA,NA,0.07169975,1.13880436,1.48006720,NA,1.27592166,NA,NA,14.26181180,5.66158418,215.76873792,0.00000000,NA,1.47067504,8.43602511,0.00009234,0.03577578,15.86810213,NA,0.00000000,0.00011280,0.00000000,NA,NA,134.54696593,3.30692958,0.17654186
15,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.49477984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287.06551116,NA,NA
15,1,MS,roots,0.03316519,38.11828078,0.03002696,0.03208210,0.00575455,0.00000126,0.46100272,0.00017954,NA,0.10516252,0.00000000,NA,NA,NA,0.07302202,1.14530456,1.48074680,NA,1.27560820,NA,NA,14.46562172,4.97600916,190.59140390,0.00000000,NA,1.64131977,8.47596127,0.00009286,0.03586865,15.78291310,NA,0.00000000,0.00011293,0.00000000,NA,NA,135.71348827,3.32580524,0.17818454
16,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.29488612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281.05768653,NA,NA
16,1,MS,roots,0.03330288,33.87492462,0.03273176,0.03194830,0.00578884,0.00000135,0.44444014,0.00018001,NA,0.10543900,0.00000000,NA,NA,NA,0.07408799,1.15005960,1.48079017,NA,1.27467916,NA,NA,14.64456657,4.39613875,169.37462310,0.00000000,NA,1.78696173,8.51596046,0.00009325,0.03596189,15.69770694,NA,0.00000000,0.00011307,0.00000000,NA,NA,136.20100595,3.33961324,0.17952699
17,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.10046628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275.42426905,NA,NA
17,1,MS,roots,0.03339789,30.44260625,0.03506411,0.03180906,0.00582231,0.00000144,0.42759952,0.00018047,NA,0.10568011,0.00000000,NA,NA,NA,0.07493461,1.15334061,1.48032701,NA,1.27326275,NA,NA,14.80324196,3.92406776,152.21303126,0.00000000,NA,1.91223923,8.55600245,0.00009351,0.03605541,15.61250955,NA,0.00000000,0.00011319,0.00000000,NA,NA,136.14034465,3.34914084,0.18061472
18,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.91312985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.02309976,NA,NA
18,1,MS,roots,0.03345871,27.60617308,0.03709332,0.03167106,0.00585615,0.00000153,0.41128641,0.00018094,NA,0.10589144,0.00000000,NA,NA,NA,0.07559851,1.15544068,1.47944315,NA,1.27143396,NA,NA,14.94509537,3.53386542,138.03086541,0.00000000,NA,2.02063393,8.59606973,0.00009368,0.03614909,15.52733694,NA,0.00000000,0.00011332,0.00000000,NA,NA,135.62803948,3.35523913,0.18148995
19,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.73377203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.90588217,NA,NA
19,1,MS,roots,0.03349066,25.30113393,0.03888095,0.03154409,0.00589217,0.00000162,0.39712285,0.00018141,NA,0.10607695,0.00000000,NA,NA,NA,0.07610744,1.15654399,1.47820034,NA,1.26923895,NA,NA,15.07283054,3.21570942,126.50566966,0.00000000,NA,2.11487845,8.63614569,0.00009377,0.03624287,15.44219292,NA,0.00000000,0.00011348,0.00000000,NA,NA,134.74123251,3.35844299,0.18218439
20,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.56190255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260.01646475,NA,NA
20,1,MS,roots,0.03349737,23.40237039,0.04045351,0.03140527,0.00592612,0.00000171,0.38510949,0.00018188,NA,0.10624111,0.00000000,NA,NA,NA,0.07648743,1.15677568,1.47666655,NA,1.26672760,NA,NA,15.18941253,2.95296827,117.01185193,0.00000000,NA,2.19796307,8.67621716,0.00009379,0.03633666,15.35710015,NA,0.00000000,0.00011361,0.00000000,NA,NA,133.56603040,3.35911577,0.18272855
21,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.39747393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255.30082646,NA,NA
21,1,MS,roots,0.03348290,21.82637273,0.04185160,0.03126601,0.00596008,0.00000180,0.37516465,0.00018235,NA,0.10638560,0.00000000,NA,NA,NA,0.07675885,1.15627603,1.47486952,NA,1.26390965,NA,NA,15.29633953,2.73468857,109.13186367,0.00000000,NA,2.27140717,8.71627277,0.00009375,0.03643041,15.27207059,NA,0.00000000,0.00011374,0.00000000,NA,NA,132.14619130,3.35766488,0.18314446
22,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.24004054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250.78251828,NA,NA
22,1,MS,roots,0.03344857,20.53619415,0.04310301,0.03112626,0.00599403,0.00000189,0.36765020,0.00018282,NA,0.10651220,0.00000000,NA,NA,NA,0.07693511,1.15509044,1.47283817,NA,1.26079515,NA,NA,15.39513729,2.55493654,102.68097077,0.00000000,NA,2.33675637,8.75629995,0.00009366,0.03652407,15.18711484,NA,0.00000000,0.00011386,0.00000000,NA,NA,130.52647008,3.35422210,0.18344731
23,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.08926346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.39884156,NA,NA
