t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
194,1,MS,2958886.23355392,10,0.00333894,2958886.23355392,1
195,1,MS,2958597.18014490,10,0.00333894,2958597.18014490,1
196,1,MS,2958298.65352562,10,0.00333894,2958298.65352562,1
197,1,MS,2957990.72101658,10,0.00333894,2957990.72101658,1
198,1,MS,2957673.72124758,10,0.00333894,2957673.72124758,1
199,1,MS,2957348.01469483,10,0.00333894,2957348.01469483,1
200,1,MS,2957013.98730085,10,0.00333894,2957013.98730085,1
201,1,MS,2956671.99972875,10,0.00333894,2956671.99972875,1
202,1,MS,2956322.42322082,10,0.00333894,2956322.42322082,1
203,1,MS,2955965.60553217,10,0.00333894,2955965.60553217,1
204,1,MS,2955602.01444105,10,0.00333894,2955602.01444105,1
205,1,MS,2955238.01881012,10,0.00333894,2955238.01881012,1
206,1,MS,2954880.23107413,10,0.00333894,2954880.23107413,1
207,1,MS,2954529.23642747,10,0.00333894,2954529.23642747,1
208,1,MS,2954185.30963640,10,0.00333894,2954185.30963640,1
209,1,MS,2953848.49476033,10,0.00333894,2953848.49476033,1
210,1,MS,2953518.73083045,10,0.00333894,2953518.73083045,1
211,1,MS,2953195.92820944,10,0.00333894,2953195.92820944,1
212,1,MS,2952879.87966754,10,0.00333894,2952879.87966754,1
213,1,MS,2952570.27050427,10,0.00333894,2952570.27050427,1
214,1,MS,2952267.03589839,10,0.00333894,2952267.03589839,1
215,1,MS,2951969.94664299,10,0.00333894,2951969.94664299,1
216,1,MS,2951678.82996232,10,0.00333894,2951678.82996232,1
217,1,MS,2951385.24280989,10,0.00333894,2951385.24280989,1
218,1,MS,2951080.90927102,10,0.00333894,2951080.90927102,1
219,1,MS,2950765.50516483,10,0.00333894,2950765.50516483,1
220,1,MS,2950439.62535462,10,0.00333894,2950439.62535462,1
221,1,MS,2950103.30343272,10,0.00333894,2950103.30343272,1
222,1,MS,2949756.96871974,10,0.00333894,2949756.96871974,1
223,1,MS,2949401.06869731,10,0.00333894,2949401.06869731,1
224,1,MS,2949036.24840238,10,0.00333894,2949036.24840238,1
225,1,MS,2948662.70829818,10,0.00333894,2948662.70829818,1
226,1,MS,2948280.91958713,10,0.00333894,2948280.91958713,1
227,1,MS,2947891.25298157,10,0.00333894,2947891.25298157,1
228,1,MS,2947494.10431230,10,0.00333894,2947494.10431230,1
229,1,MS,2947096.62599581,10,0.00333894,2947096.62599581,1
230,1,MS,2946706.18868762,10,0.00333894,2946706.18868762,1
231,1,MS,2946323.41492026,10,0.00333894,2946323.41492026,1
232,1,MS,2945948.51239824,10,0.00333894,2945948.51239824,1
233,1,MS,2945581.50314797,10,0.00333894,2945581.50314797,1
234,1,MS,2945222.27121946,10,0.00333894,2945222.27121946,1
235,1,MS,2944870.65331781,10,0.00333894,2944870.65331781,1
