t,plant,axis,metamer,AA_consumption_mstruct,D_Fructan,D_Proteins,LSIW,LSSW,Nstruct,Respi_growth,SSLW,S_Fructan,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,amino_acids,delta_internode_L,delta_internode_distance_to_emerge,delta_internode_pseudo_age,delta_leaf_L,delta_leaf_pseudo_age,delta_leaf_pseudostem_length,fructan,hiddenzone_age,internode_L,internode_Lmax,internode_Lmax_lig,internode_distance_to_emerge,internode_enclosed_Nstruct,internode_enclosed_mstruct,internode_is_growing,internode_is_remobilizing,internode_is_visible,internode_pseudo_age,is_over,lamina_Lmax,leaf_L,leaf_Lmax,leaf_Lmax_em,leaf_Wmax,leaf_enclosed_Nstruct,leaf_enclosed_mstruct,leaf_is_emerged,leaf_is_growing,leaf_is_remobilizing,leaf_pseudo_age,leaf_pseudostem_length,mean_conc_sucrose,mstruct,nb_replications,proteins,ratio_DZ,sheath_Lmax,sucrose,sucrose_consumption_mstruct
2,1,MS,7,0.00000255,0.00043250,9.55943907,NA,NA,0.00000001,0.00008528,NA,100.35239466,219.15425066,0.00062877,0.00211662,0.00031141,0.00000000,0.00000000,0.00000000,0.00000148,0.00000000,0.00000000,0.00043250,1652409.61795846,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00031876,NA,NA,NA,0.00000001,0.00000283,False,True,False,0.00000000,0.02900000,NA,0.00000283,1,0.05208050,1.00000000,NA,0.00671655,0.00025585
2,1,MS,8,0.00000087,0.00016455,9.57423205,NA,NA,0.00000001,0.00002921,NA,100.35351002,219.17023870,0.00023923,0.00080550,0.00011850,0.00000000,0.00000000,0.00000000,0.00000063,0.00000000,0.00000000,0.00016455,1104489.61795846,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00014800,NA,NA,NA,0.00000001,0.00000108,False,True,False,0.00000000,0.02900000,NA,0.00000108,1,0.01984613,1.00000000,NA,0.00255554,0.00008764
2,1,MS,9,0.00000039,0.00007594,9.59099439,NA,NA,0.00000000,0.00001288,NA,100.35417681,219.17979777,0.00011041,0.00037185,0.00005469,0.00000000,0.00000000,0.00000000,0.00000033,0.00000000,0.00000000,0.00007594,556569.61795846,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00007912,NA,NA,NA,0.00000000,0.00000050,False,True,False,0.00000000,0.02900000,NA,0.00000050,1,0.00917565,1.00000000,NA,0.00117947,0.00003863
2,1,MS,10,0.00000020,0.00004409,9.59164444,NA,NA,0.00000000,0.00000657,NA,100.35455322,219.18518754,0.00006409,0.00021586,0.00003175,0.00000000,0.00000000,0.00000000,0.00000019,0.00000000,0.00000000,0.00004409,8649.61795846,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00005005,NA,NA,NA,0.00000000,0.00000029,False,True,False,0.00000000,0.02900000,NA,0.00000029,1,0.00532669,1.00000000,NA,0.00068467,0.00001972
3,1,MS,3,0.00103037,4.93312614,2.65148384,1.00000000,0.09000000,0.00001016,0.03444169,21.00000000,0.00000032,75.97914217,0.05188450,-5.14634194,0.24414765,0.00000000,0.00000000,0.00000000,0.00028165,2883.20598615,0.00000000,8.90125102,3846972.82394462,0.00005000,NA,NA,0.02900000,0.00000001,0.00000132,True,False,False,875532.82394462,False,0.09723535,0.09365399,0.12780614,0.12300000,0.00400000,0.00001016,0.00202955,True,True,False,1581532.82394462,0.02895000,1800.00000000,0.00203087,1,10.35623866,0.00000000,0.03057079,5.79052046,0.10332507
3,1,MS,4,0.00161465,2.00458655,4.38655137,NA,NA,0.00000416,0.05397239,NA,113.16873614,121.22426919,0.10472983,0.50852326,0.09983006,0.00000007,0.00000000,0.00000000,0.00018391,2883.20598615,-0.00000007,2.00458655,3299052.82394462,0.00001028,NA,NA,0.02895000,0.00000000,0.00000017,True,False,False,0.00000000,False,0.09910648,0.02724881,0.13395846,0.13300000,NA,0.00000416,0.00083103,False,True,False,768532.82394462,0.02893979,1809.93992763,0.00083120,1,7.01230175,0.28864133,0.03399352,2.36576529,0.16191717
3,1,MS,5,0.00004886,0.00770723,9.57633228,NA,NA,0.00000015,0.00163316,NA,113.18116786,232.93332152,0.00691853,0.01994518,0.00357538,0.00000035,-0.00000007,0.00000000,0.00001640,0.00000000,-0.00000042,0.00770723,2751132.82394462,0.00005140,NA,NA,0.02893979,0.00000000,0.00000002,True,False,False,0.00000000,False,NA,0.00203677,NA,NA,NA,0.00000015,0.00002973,False,True,False,0.00000000,0.02888875,1820.56029206,0.00002975,1,0.54799096,1.00000000,NA,0.08469998,0.00489949
3,1,MS,6,0.00000849,0.00224837,9.65074561,NA,NA,0.00000004,0.00028392,NA,113.18353065,232.97578430,0.00201508,0.00581708,0.00104178,0.00000000,0.00000000,0.00000000,0.00000390,0.00000000,0.00000000,0.00224837,2203212.82394462,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00077062,NA,NA,NA,0.00000004,0.00000867,False,True,False,0.00000000,0.02900000,NA,0.00000867,1,0.16086913,1.00000000,NA,0.02467375,0.00085177
3,1,MS,7,0.00000263,0.00073698,9.64754868,NA,NA,0.00000001,0.00008795,NA,113.18497909,233.00169616,0.00066040,0.00190607,0.00034143,0.00000000,0.00000000,0.00000000,0.00000154,0.00000000,0.00000000,0.00073698,1655292.82394462,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00032030,NA,NA,NA,0.00000001,0.00000284,False,True,False,0.00000000,0.02900000,NA,0.00000284,1,0.05269722,1.00000000,NA,0.00808542,0.00026384
3,1,MS,8,0.00000090,0.00028034,9.66478680,NA,NA,0.00000001,0.00003011,NA,113.18586385,233.01754499,0.00025120,0.00072524,0.00012989,0.00000000,0.00000000,0.00000000,0.00000066,0.00000000,0.00000000,0.00028034,1107372.82394462,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00014865,NA,NA,NA,0.00000001,0.00000108,False,True,False,0.00000000,0.02900000,NA,0.00000108,1,0.02008071,1.00000000,NA,0.00307556,0.00009032
