t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
557,1,MS,12.8000000000,1,537283.8896200000,537283.8896200000,0.0042000000
558,1,MS,15.6000000000,1,536689.1688500000,536689.1688500000,0.0052500000
559,1,MS,17.0000000000,1,536021.2212600000,536021.2212600000,0.0058600000
560,1,MS,18.2000000000,1,535294.8068800000,535294.8068800000,0.0064300000
561,1,MS,19.1000000000,1,534501.8507100000,534501.8507100000,0.0068900000
562,1,MS,19.9000000000,1,533660.0909100000,533660.0909100000,0.0073200000
563,1,MS,21.0000000000,1,532718.4692500000,532718.4692500000,0.0079600000
564,1,MS,22.3000000000,1,531677.4776300000,531677.4776300000,0.0087700000
565,1,MS,21.9000000000,1,530629.7804000000,530629.7804000000,0.0085200000
566,1,MS,21.8000000000,1,529585.6185200000,529585.6185200000,0.0084500000
567,1,MS,21.8000000000,1,528511.8797400000,528511.8797400000,0.0084500000
568,1,MS,21.8000000000,1,527442.9018200000,527442.9018200000,0.0084500000
569,1,MS,20.8000000000,1,526431.8350899999,526431.8350899999,0.0078400000
570,1,MS,19.9000000000,1,525496.7820800000,525496.7820800000,0.0073200000
571,1,MS,18.6000000000,1,524641.8177400000,524641.8177400000,0.0066300000
572,1,MS,16.1000000000,1,523946.3262100000,523946.3262100000,0.0054600000
573,1,MS,15.4000000000,1,523286.7058300000,523286.7058300000,0.0051600000
574,1,MS,16.0000000000,1,522606.3769600000,522606.3769600000,0.0054100000
575,1,MS,15.2000000000,1,521967.8861400000,521967.8861400000,0.0050800000
576,1,MS,12.8000000000,1,521448.4379300000,521448.4379300000,0.0042000000
577,1,MS,11.6000000000,1,520978.0178200000,520978.0178200000,0.0038100000
578,1,MS,11.5000000000,1,520517.7605700000,520517.7605700000,0.0037800000
579,1,MS,11.3000000000,1,520066.3337600000,520066.3337600000,0.0037100000
580,1,MS,11.2000000000,1,519624.9579600000,519624.9579600000,0.0036800000
581,1,MS,13.7000000000,1,519086.8330100000,519086.8330100000,0.0045100000
582,1,MS,16.1000000000,1,518448.8328700000,518448.8328700000,0.0054600000
583,1,MS,17.5000000000,1,517735.8699000000,517735.8699000000,0.0060900000
584,1,MS,19.1000000000,1,516944.3045100000,516944.3045100000,0.0068900000
585,1,MS,19.7000000000,1,516103.8961800000,516103.8961800000,0.0072100000
586,1,MS,21.1000000000,1,515179.2142200000,515179.2142200000,0.0080200000
587,1,MS,22.0000000000,1,514161.4493700000,514161.4493700000,0.0085800000
588,1,MS,21.9000000000,1,513153.8947300000,513153.8947300000,0.0085200000
589,1,MS,23.3000000000,1,511998.8412700000,511998.8412700000,0.0094500000
590,1,MS,23.8000000000,1,510805.6258600000,510805.6258600000,0.0098000000
591,1,MS,23.6000000000,1,509589.9561100000,509589.9561100000,0.0096600000
592,1,MS,23.1000000000,1,508427.2258600000,508427.2258600000,0.0093100000
593,1,MS,22.6000000000,1,507281.9889500000,507281.9889500000,0.0089700000
