Nstruct,delta_leaf_L,sucrose,leaf_pseudostem_length,S_Proteins,RER,internode_L,plant,sum_dry_mass,Cont_Proteins_DM,Unloading_Amino_Acids,Conc_Amino_Acids,t,Respi_growth,D_Fructan,N_content,ratio_DZ,leaf_is_emerged,D_Proteins,Conc_Sucrose,Cont_WSC_DM,fructan,mstruct,axis,AA_consumption_mstruct,Conc_Proteins,leaf_L,Cont_Fructan_DM,Unloading_Sucrose,sucrose_consumption_mstruct,amino_acids,nb_replications,proteins,S_Fructan,Conc_Fructan,metamer
0.00000015,0.00001684,0.09714000,0.02888832,242.89959725,0.00000228,0.00005175,1,0.00009093,56.57605081,0.00719050,102.35004024,4.00000000,0.00166230,0.01125608,8.76625109,1.00000000,False,9.65089714,270.79788319,3.40610083,0.01125608,0.00002989,MS,0.00004973,1.92482935,0.00205362,0.35369663,0.01890184,0.00498691,0.00382446,1,0.55484230,122.88982587,62.75728482,5
0.00000004,0.00000399,0.02824399,0.02900000,242.94185892,0.00000143,0.00000000,1,0.00002660,56.77287214,0.00209019,102.37696343,4.00000000,0.00028776,0.00327925,8.79445441,1.00000000,False,9.74312633,270.80522790,3.38638422,0.00327925,0.00000869,MS,0.00000861,1.94322406,0.00077462,0.35227360,0.00550502,0.00086329,0.00111224,1,0.16286071,122.89184600,62.88335774,6
0.00000001,0.00000158,0.00925392,0.02900000,242.96759832,0.00000136,0.00000000,1,0.00000871,56.76909999,0.00068490,102.39336330,4.00000000,0.00008910,0.00107484,8.79353239,1.00000000,False,9.74142322,270.80972867,3.38694538,0.00107484,0.00000285,MS,0.00000267,1.94288439,0.00032188,0.35245550,0.00180358,0.00026730,0.00036447,1,0.05334982,122.89308389,62.90901097,7
0.00000001,0.00000067,0.00351910,0.02900000,242.98334254,0.00000125,0.00000000,1,0.00000332,56.81096319,0.00026045,102.40339563,4.00000000,0.00003048,0.00040878,8.80014791,1.00000000,False,9.76115749,270.81247778,3.38265761,0.00040878,0.00000108,MS,0.00000091,1.94682030,0.00014933,0.35203864,0.00068612,0.00009144,0.00013861,1,0.02032888,122.89384000,62.91550096,8
0.00000000,0.00000035,0.00162384,0.02900000,242.99275154,0.00000123,0.00000000,1,0.00000153,56.85057878,0.00012018,102.40939141,4.00000000,0.00001343,0.00018862,8.80586357,1.00000000,False,9.77986251,270.81412098,3.37855892,0.00018862,0.00000050,MS,0.00000040,1.95055093,0.00007982,0.35160868,0.00031671,0.00004030,0.00006396,1,0.00939841,122.89429194,62.91520373,9
0.00000000,0.00000020,0.00094211,0.02900000,242.99806037,0.00000113,0.00000000,1,0.00000089,56.86291666,0.00006972,102.41277452,4.00000000,0.00000685,0.00010949,8.80820549,1.00000000,False,9.78574518,270.81504913,3.37743757,0.00010949,0.00000029,MS,0.00000020,1.95172421,0.00005045,0.35164007,0.00018377,0.00002054,0.00003711,1,0.00545595,122.89454721,62.94500821,10
0.00001019,0.00028801,7.36085935,0.02895000,81.72601764,0.00000085,0.00005000,1,0.00363547,27.20678321,0.06357904,107.35352161,5.00000000,0.03444169,3.91977471,4.49385205,0.00000000,True,2.72358876,301.18430315,12.76766004,8.88489934,0.00203664,MS,0.00103037,0.54320790,0.09422765,6.98270708,-5.85760975,0.10332507,0.27330102,1,10.66809197,0.00000026,727.08690324,3
0.00000421,0.00018996,3.03251742,0.02893965,129.36791509,0.00000191,0.00001042,1,0.00175004,38.22801693,0.10997396,107.26388195,5.00000000,0.05467699,2.20756520,6.10290570,0.28248741,False,4.46469087,300.72155422,8.55503121,2.20756520,0.00084034,MS,0.00163573,0.89046313,0.02762622,3.60410142,0.45729643,0.16403097,0.11267330,1,7.21571171,130.77697499,437.82926675,4
0.00000015,0.00001718,0.10839556,0.02888790,250.56617378,0.00000230,0.00005211,1,0.00009226,56.47585117,0.00741247,107.31384660,5.00000000,0.00168189,0.01508734,8.75175818,1.00000000,False,9.72926405,300.75764241,3.82407694,0.01508734,0.00003003,MS,0.00005032,1.94045929,0.00207080,0.46723184,0.01827716,0.00504566,0.00402883,1,0.56198388,130.78608973,83.72358163,5
0.00000004,0.00000406,0.03145627,0.02900000,250.60827031,0.00000145,0.00000000,1,0.00002697,56.70923669,0.00215045,107.34155241,5.00000000,0.00028983,0.00438976,8.78523405,1.00000000,False,9.83958897,300.76472424,3.79812681,0.00438976,0.00000872,MS,0.00000867,1.96246312,0.00077868,0.46512478,0.00531551,0.00086949,0.00116944,1,0.16493255,130.78787827,83.94421994,6
