sum_dry_mass_laminae,Cont_WSC_DM_shoot,Cont_WSC_DM,C_exudated,Tillers_Photosynthesis_An,senesced_mstruct,dry_mass_phloem,axis,C_N_ratio,sum_dry_mass,N_content_shoot,NS_roots,Cont_WSC_DM_laminae,t,sum_NSC_g,sum_respi_roots,mstruct_shoot,mstruct_laminae,sum_dry_mass_shoot,mstruct_stem,N_content,sum_C_g,C_respired_roots,Total_Transpiration,N_content_mstruct_shoot,C_respired_shoot,N_content_total_DM_shoot,NS_stem,C_N_ratio_shoot,N_content_roots,sum_dry_mass_stem,Cont_WSC_DM_stem,N_content_mstruct,shoot_roots_ratio,Total_Photosynthesis,N_content_mstruct_roots,plant,Tillers_Photosynthesis,NS_laminae,NS,mstruct,sum_respi_shoot,NNI,sum_N_g_shoot,sum_dry_mass_roots,Cont_WSC_DM_roots,NS_shoot,sum_N_g,shoot_roots_mstruct_ratio
0.02406150,17.18916646322186,18.236230897804287,1.15672817,0.00000000,0.00000000,0.00836022,MS,17.17269914,0.08436356,4.10169134,23.22722369,15.578336545687577,20.00000000,0.01259719,0.39146155,0.02016237,0.01311522,0.03701441,0.00704714,2.45922503,0.03562802,1.57498706,0.00009026,7.52995412,0.43861484,4.10169134,45.59414149,10.22556151,1.17525426,0.01295291,20.181464300948434,3.67113221,0.78173340,0.00000000,1.53082162,1,0.00000000,45.49291063,33.01180986,0.05234281,0.35739406,0.93220258,0.00151822,0.04734915,19.05475613325266,45.52833560,0.00207469,0.55465389
0.02399363,16.982506865891636,18.017146633868652,1.08237027,0.00000000,0.00000000,0.00821046,MS,17.09895584,0.08429655,4.11295686,23.04027447,15.380531322904433,21.00000000,0.01251440,0.38935250,0.02016919,0.01311522,0.03693763,0.00705397,2.46919090,0.03559050,1.57379896,0.00009026,7.53242451,0.43770312,4.11295686,45.50397277,10.19699140,1.18713397,0.01294400,19.952005743420536,3.67639018,0.77995101,0.00000000,1.54253925,1,0.00000000,45.33873664,32.83653848,0.05244567,0.35623549,0.93476292,0.00151923,0.04735892,18.82411497034139,45.39664011,0.00208144,0.55337965
0.02392992,16.78581908285549,17.79947999740811,1.02231174,0.00000000,0.00000000,0.00806765,MS,17.02692855,0.08423085,4.12389096,22.84635792,15.1929307362807,22.00000000,0.01243235,0.38693169,0.02017603,0.01311522,0.03686646,0.00706081,2.47900628,0.03555373,1.57170111,0.00009026,7.53533956,0.43685978,4.12389096,45.41961657,10.16936755,1.19869684,0.01293654,19.732332781600697,3.68143635,0.77835818,0.00000000,1.55364907,1,0.00000000,45.19321404,32.66198183,0.05254858,0.35514362,0.93724794,0.00152033,0.04736439,18.588471258752655,45.27265929,0.00208809,0.55211228
0.02386955,16.597169629194433,17.583013166658354,0.97360964,0.00000000,0.00000000,0.00793069,MS,16.95657108,0.08416615,4.13455308,22.64680171,15.013380080183026,23.00000000,0.01235093,0.38427064,0.02018290,0.01311522,0.03679979,0.00706768,2.48867360,0.03551759,1.56883282,0.00009026,7.53859305,0.43606258,4.13455308,45.33990317,10.14253395,1.20996007,0.01293024,19.520886314349127,3.68626552,0.77691809,0.00000000,1.56420173,1,0.00000000,45.05459738,32.48794500,0.05265149,0.35409595,0.93967116,0.00152151,0.04736637,18.34893284114018,45.15484446,0.00209462,0.55085238
0.02381190,16.41505420434413,17.367579391061252,0.93397698,0.00000000,0.00000000,0.00779867,MS,16.88783909,0.08410220,4.14499027,22.44263035,14.840251409206287,24.00000000,0.01227005,0.38142377,0.02018979,0.01311522,0.03673676,0.00707457,2.49819509,0.03548197,1.56529677,0.00009026,7.54210495,0.43529496,4.14499027,45.26386186,10.11636749,1.22093655,0.01292485,19.316367095087873,3.69087467,0.77560255,0.00000000,1.57423666,1,0.00000000,44.92157095,32.31428007,0.05275437,0.35307572,0.94204324,0.00152273,0.04736544,18.106360358265643,45.04199694,0.00210104,0.54960048
0.02447075,17.528745579462303,17.90579470121336,1.09878791,34.40647866,0.00000000,0.00795254,MS,17.00244007,0.08488419,4.13333473,22.26426401,16.565301907977243,25.00000000,0.01257488,0.38208678,0.02019670,0.01311522,0.03750407,0.00708147,2.48275223,0.03583203,1.56482285,0.00306438,7.67535872,2.35593378,4.13333473,45.66640664,10.14451127,1.17622190,0.01303333,19.337660898027668,3.69549148,0.79155712,34.27573598,1.51310319,1,34.27573598,46.40448980,32.81672442,0.05285717,2.27345946,0.93939426,0.00155017,0.04738012,18.204250616528565,46.14799288,0.00210746,0.54835706
0.02480222,18.28404278323138,18.46785013016539,1.36884187,34.43117824,0.00000000,0.00842924,MS,17.11519075,0.08568505,4.11962395,22.56374078,17.431513472080994,26.00000000,0.01288023,0.38047048,0.02020360,0.01311522,0.03799784,0.00708838,2.46725070,0.03618263,1.56333871,0.00306471,7.74796543,2.07830527,4.11962395,46.28231019,10.17602361,1.15061657,0.01319562,19.88644000501097,3.70039489,0.79681399,34.29902687,1.48588863,1,34.29902687,47.12078186,33.32466482,0.05295999,1.99586054,0.93627817,0.00156537,0.04768721,18.614310395872884,46.82960342,0.00211407,0.54711987
0.02501563,18.883593410629924,19.015861083690474,1.75251449,34.46103422,0.00000000,0.00893121,MS,17.22389110,0.08648034,4.10704673,23.01220511,18.01196062920238,27.00000000,0.01318164,0.38275686,0.02021049,0.01311522,0.03839050,0.00709527,2.45241165,0.03652936,1.56810214,0.00306509,7.80147159,2.04201556,4.10704673,46.95073241,10.20534456,1.13150314,0.01337487,20.513847526122085,3.70559704,0.79830806,34.32730378,1.46971755,1,34.32730378,47.57189334,33.81871739,0.05306299,1.95974356,0.93341971,0.00157672,0.04808984,19.12145143324235,47.35548698,0.00212085,0.54588574
0.02518745,19.40593014989777,19.547541331709432,2.11522913,34.49218121,0.00000000,0.00939260,MS,17.32829136,0.08726884,4.09584975,23.51067137,18.48909873352706,28.00000000,0.01347896,0.38808795,0.02021737,0.01311522,0.03873935,0.00710215,2.43828266,0.03687219,1.57917146,0.00306548,7.84822971,2.02320446,4.09584975,47.59298243,10.23166137,1.11510629,0.01355190,21.10994507826409,3.71113194,0.79826414,34.35690231,1.45785865,1,34.35690231,47.92953431,34.29814126,0.05316644,1.94113034,0.93087494,0.00158671,0.04852949,19.660584460329883,47.81180084,0.00212786,0.54465072
0.02533882,19.87375760748425,20.064172547126695,2.42723257,34.52395647,0.00000000,0.00981209,MS,17.42843475,0.08805186,4.08631523,24.03210950,18.9082270846843,29.00000000,0.01377264,0.39567693,0.02022423,0.01311522,0.03906123,0.00710901,2.42483619,0.03721168,1.59533904,0.00306587,7.89234102,2.00490127,4.08631523,48.19419856,10.25405869,1.10010501,0.01372241,21.656636411797592,3.71703036,0.79732043,34.38714365,1.44811841,1,34.38714365,48.24059330,34.76415430,0.05327057,1.92301900,0.92870801,0.00159616,0.04899063,20.215994268113278,48.22429459,0.00213511,0.54341153
0.02547746,20.298665208491606,20.567106363740663,2.68730889,34.55623320,0.00000000,0.01019795,MS,17.52431091,0.08883084,4.07838526,24.56574068,19.2869981384236,30.00000000,0.01406316,0.40521522,0.02023107,0.01311522,0.03936355,0.00711585,2.41205206,0.03754839,1.61549777,0.00306625,7.93530541,1.98781337,4.07838526,48.75556283,10.27257074,1.08606875,0.01388609,22.154817707661177,3.72333951,0.79574920,34.41789064,1.43975531,1,34.41789064,48.52225582,35.21804668,0.05337554,1.90611236,0.92690574,0.00160540,0.04946728,20.78071819804375,48.60455842,0.00214265,0.54216588
0.02560706,20.68978030077327,21.05751816545889,2.89403489,34.58900662,0.00000000,0.01055936,MS,17.61629033,0.08960690,4.07176201,25.10536116,19.635959778863892,31.00000000,0.01435107,0.41476035,0.02023790,0.01311522,0.03965089,0.00712268,2.39986854,0.03788291,1.63691615,0.00306664,7.97755582,1.97421182,4.07176201,49.28247959,10.28788911,1.07285981,0.01404382,22.611283220179164,3.73003115,0.79371608,34.44913299,1.43249213,1,34.44913299,48.78280059,35.66089799,0.05348146,1.89268242,0.92540046,0.00161449,0.04995601,21.34939762359287,48.95978034,0.00215045,0.54091246
0.02572988,21.05448538090993,21.536486704499765,3.05989009,34.62223354,0.00000000,0.01090208,MS,17.70439666,0.09038115,4.06618210,25.64649068,19.96190085384132,32.00000000,0.01463681,0.42520053,0.02024472,0.01311522,0.03992694,0.00712950,2.38826638,0.03821570,1.65979746,0.00306703,8.01938722,1.96211418,4.06618210,49.78191007,10.30064006,1.06044766,0.01419707,23.034617471681283,3.73714140,0.79135007,34.48082517,1.42622408,1,34.48082517,49.02726830,36.09376467,0.05358838,1.88074800,0.92413230,0.00162350,0.05045421,21.917918485714562,49.29560086,0.00215854,0.53965079
0.02584739,21.398426513683198,22.004906084818575,3.18999529,34.65590310,0.00000000,0.01123098,MS,17.78876353,0.09115446,4.06140165,26.18619870,20.269887837812004,33.00000000,0.01492078,0.43582921,0.02025152,0.01311522,0.04019435,0.00713630,2.37721565,0.03854715,1.68296859,0.00306742,8.06089682,1.95208947,4.06140165,50.25918284,10.31141905,1.04882836,0.01434697,23.431593385913814,3.74467982,0.78874144,34.51295538,1.42091092,1,34.51295538,49.25900369,36.51751918,0.05369630,1.87087966,0.92304583,0.00163245,0.05096011,22.483261653182254,49.61600748,0.00216694,0.53838093
0.02596075,21.72596823469705,22.463519114776293,3.29100284,34.68998396,0.00000000,0.01154969,MS,17.86952209,0.09192751,4.05722889,26.72236112,20.5638625114932,34.00000000,0.01520331,0.44645666,0.02025831,0.01311522,0.04045517,0.00714309,2.36668848,0.03887761,1.70592210,0.00306782,8.10215185,1.94401528,4.05722889,50.71836541,10.32069834,1.03799220,0.01449442,23.80739921372978,3.75265100,0.78595949,34.54549221,1.41651971,1,34.54549221,49.48057929,36.93289147,0.05380521,1.86295619,0.92209748,0.00164136,0.05147234,23.04320422855753,49.92405765,0.00217564,0.53710331
0.02607093,22.04057059864503,22.912954324250407,3.36806380,34.72444101,0.00000000,0.01186096,MS,17.94679079,0.09270085,4.05351555,27.25335725,20.846955287863757,35.00000000,0.01548471,0.45701259,0.02026509,0.01311522,0.04071110,0.00714987,2.35665987,0.03920734,1.72839769,0.00306821,8.14322024,1.93773552,4.05351555,51.16267264,10.32884478,1.02792002,0.01464017,24.16613831317436,3.76105774,0.78306003,34.57840077,1.41301369,1,34.57840077,49.69408277,37.34050269,0.05391508,1.85682246,0.92125353,0.00165023,0.05198975,23.596083147113838,50.22220410,0.00218464,0.53581857
