t,plant,axis,C_exudated,GA,SAM_height,SAM_temperature,Total_Transpiration,cohort,delta_teq,delta_teq_roots,mstruct,nb_leaves,senesced_mstruct,status,sum_TT,sum_respi_roots,sum_respi_shoot,teq_since_primordium
72,1,MS,0.89152784,False,0.00000000,10.00000000,0.00012249,1,2883.20598615,2883.20598615,0.06472732,10,0.00000000,vegetative,29.23250514,0.51220375,0.63775606,210474.03698928
73,1,MS,1.51853312,False,0.00000000,10.00000000,0.00412162,1,2883.20598615,2883.20598615,0.06489139,10,0.00000000,vegetative,29.63295041,0.51392755,3.40450871,213357.24297543
74,1,MS,2.61586922,False,0.00000000,10.00000000,0.00412787,1,2883.20598615,2883.20598615,0.06505737,10,0.00000000,vegetative,30.03339569,0.51233011,2.96845179,216240.44896159
75,1,MS,3.50996159,False,0.00000000,10.00000000,0.00414429,1,2883.20598615,2883.20598615,0.06522387,10,0.00000000,vegetative,30.43384096,0.51613051,2.94702667,219123.65494774
76,1,MS,4.13266549,False,0.00000000,10.00000000,0.00413898,1,2883.20598615,2883.20598615,0.06539093,10,0.00000000,vegetative,30.83428624,0.52316841,2.90310491,222006.86093390
77,1,MS,4.53479336,False,0.00000000,10.00000000,0.00414491,1,2883.20598615,2883.20598615,0.06555858,10,0.00000000,vegetative,31.23473152,0.53122538,2.87360048,224890.06692005
78,1,MS,4.81008978,False,0.00000000,10.00000000,0.00415612,1,2883.20598615,2883.20598615,0.06572613,10,0.00000000,vegetative,31.63517679,0.53899156,2.85538339,227773.27290621
79,1,MS,4.98568535,False,0.00000000,10.00000000,0.00416936,1,2883.20598615,2883.20598615,0.06589484,10,0.00000000,vegetative,32.03562207,0.54734439,2.84110803,230656.47889236
80,1,MS,5.10539366,False,0.00000000,10.00000000,0.00420687,1,2883.20598615,2883.20598615,0.06606413,10,0.00000000,vegetative,32.43606734,0.55552549,2.83827542,233539.68487851
81,1,MS,5.18872593,False,0.00000000,10.00000000,0.00421290,1,2883.20598615,2883.20598615,0.06623399,10,0.00000000,vegetative,32.83651262,0.56347815,2.82208278,236422.89086467
82,1,MS,5.24702720,False,0.00000000,10.00000000,0.00421894,1,2883.20598615,2883.20598615,0.06640442,10,0.00000000,vegetative,33.23695790,0.57114318,2.80885608,239306.09685082
83,1,MS,5.28936367,False,0.00000000,10.00000000,0.00422498,1,2883.20598615,2883.20598615,0.06657542,10,0.00000000,vegetative,33.63740317,0.57851757,2.79837885,242189.30283698
84,1,MS,5.32237580,False,0.00000000,10.00000000,0.00422910,1,2883.20598615,2883.20598615,0.06674698,10,0.00000000,vegetative,34.03784845,0.58560681,2.78999634,245072.50882313
85,1,MS,3.97600750,False,0.00000000,10.00000000,0.00012443,1,2883.20598615,2883.20598615,0.06691908,10,0.00000000,vegetative,34.43829372,0.58886392,0.72006884,247955.71480929
86,1,MS,2.86431557,False,0.00000000,10.00000000,0.00012462,1,2883.20598615,2883.20598615,0.06709168,10,0.00000000,vegetative,34.83873900,0.59066554,0.71640474,250838.92079544
87,1,MS,2.12318648,False,0.00000000,10.00000000,0.00012481,1,2883.20598615,2883.20598615,0.06726472,10,0.00000000,vegetative,35.23918428,0.59057996,0.71518177,253722.12678160
88,1,MS,1.66513318,False,0.00000000,10.00000000,0.00012500,1,2883.20598615,2883.20598615,0.06743820,10,0.00000000,vegetative,35.63962955,0.58928299,0.71479341,256605.33276775
89,1,MS,1.39062411,False,0.00000000,10.00000000,0.00012519,1,2883.20598615,2883.20598615,0.06761209,10,0.00000000,vegetative,36.04007483,0.58728582,0.71482500,259488.53875391
90,1,MS,1.21928914,False,0.00000000,10.00000000,0.00012538,1,2883.20598615,2883.20598615,0.06778639,10,0.00000000,vegetative,36.44052010,0.58488143,0.71506600,262371.74474006
91,1,MS,1.11213357,False,0.00000000,10.00000000,0.00012557,1,2883.20598615,2883.20598615,0.06796109,10,0.00000000,vegetative,36.84096538,0.58224532,0.71541774,265254.95072621
92,1,MS,1.04305454,False,0.00000000,10.00000000,0.00012576,1,2883.20598615,2883.20598615,0.06813619,10,0.00000000,vegetative,37.24141065,0.57946829,0.71582722,268138.15671237
93,1,MS,1.00025469,False,0.00000000,10.00000000,0.00012595,1,2883.20598615,2883.20598615,0.06831169,10,0.00000000,vegetative,37.64185593,0.57661150,0.71626220,271021.36269852
94,1,MS,0.97498404,False,0.00000000,10.00000000,0.00012614,1,2883.20598615,2883.20598615,0.06848759,10,0.00000000,vegetative,38.04230121,0.57374678,0.71670976,273904.56868468
95,1,MS,0.95547320,False,0.00000000,10.00000000,0.00012634,1,2883.20598615,2883.20598615,0.06866641,10,0.00000000,vegetative,38.44274648,0.57086572,0.71714457,276787.77467083
96,1,MS,0.95404399,False,0.00000000,10.00000000,0.00012657,1,2883.20598615,2883.20598615,0.06884302,10,0.00000000,vegetative,38.84319176,0.56803360,0.71760871,279670.98065699
97,1,MS,1.75829828,False,0.00000000,10.00000000,0.00429127,1,2883.20598615,2883.20598615,0.06902002,10,0.00000000,vegetative,39.24363703,0.57045798,3.89200651,282554.18664314
98,1,MS,3.11409510,False,0.00000000,10.00000000,0.00429775,1,2883.20598615,2883.20598615,0.06919946,10,0.00000000,vegetative,39.64408231,0.57029282,3.37795606,285437.39262930
99,1,MS,4.09222027,False,0.00000000,10.00000000,0.00430417,1,2883.20598615,2883.20598615,0.06937728,10,0.00000000,vegetative,40.04452759,0.57560599,3.33343472,288320.59861545
100,1,MS,4.69872223,False,0.00000000,10.00000000,0.00430516,1,2883.20598615,2883.20598615,0.06955561,10,0.00000000,vegetative,40.44497286,0.58344155,3.28801057,291203.80460160
101,1,MS,5.06604800,False,0.00000000,10.00000000,0.00431152,1,2883.20598615,2883.20598615,0.06973444,10,0.00000000,vegetative,40.84541814,0.59203658,3.25053882,294087.01058776
102,1,MS,5.28922152,False,0.00000000,10.00000000,0.00431789,1,2883.20598615,2883.20598615,0.06991380,10,0.00000000,vegetative,41.24586341,0.60081219,3.21766112,296970.21657391
103,1,MS,5.42647041,False,0.00000000,10.00000000,0.00432426,1,2883.20598615,2883.20598615,0.07009368,10,0.00000000,vegetative,41.64630869,0.60943114,3.18918896,299853.42256007
