N_content_mstruct,NNI,C_N_ratio_shoot,Cont_WSC_DM_laminae,Cont_WSC_DM_shoot,mstruct,dry_mass_phloem,N_content_shoot,NS_roots,C_exudated,Total_Photosynthesis,Cont_WSC_DM_stem,NS_shoot,mstruct_stem,N_content_roots,sum_NSC_g,sum_dry_mass_laminae,C_respired_roots,N_content_mstruct_roots,mstruct_shoot,Cont_WSC_DM,shoot_roots_ratio,sum_dry_mass,sum_dry_mass_shoot,sum_dry_mass_stem,plant,C_N_ratio,sum_respi_shoot,Tillers_Photosynthesis_An,sum_N_g,sum_dry_mass_roots,N_content,senesced_mstruct,N_content_total_DM_shoot,Tillers_Photosynthesis,C_respired_shoot,sum_respi_roots,axis,Total_Transpiration,t,NS_laminae,sum_N_g_shoot,shoot_roots_mstruct_ratio,N_content_mstruct_shoot,sum_C_g,NS_stem,NS,mstruct_laminae,Cont_WSC_DM_roots
1.11920382,0.43896230,23.25837793,16.302030237141565,18.584508417228925,1.73830143,0.17696989,1.84723215,16.65449389,20.45519896,0.12152365,21.207990408678832,29.66262153,0.20674996,0.44769427,0.18783621,0.36820980,41.46898246,0.53715467,0.48431448,17.103147634980022,0.45764682,2.19312375,0.68855919,0.32034938,1,48.96850056,3.73493965,0.00006749,0.01945514,1.50456456,0.88709705,0.06365744,1.72326866,0.12152365,14.61450312,2.21837697,MS,0.00092073,1220.00000000,24.61783453,0.01271929,0.38621971,2.62624538,0.95268884,35.46110319,20.73856155,0.27756452,16.42520758678547
1.11713823,0.43944161,23.20803454,15.999289739743775,18.331523130833645,1.74178556,0.17378917,1.85139950,16.37652212,20.27835296,0.12152365,21.00070045577912,29.43196260,0.20730279,0.44857265,0.18511026,0.36650871,41.32789622,0.53641951,0.48462681,16.83476275218249,0.45681200,2.19010737,0.68675116,0.32024244,1,48.89960239,3.70725464,0.00006485,0.01945815,1.50335621,0.88845655,0.06425478,1.72561083,0.12152365,14.56697443,2.20906220,MS,0.00092021,1221.00000000,24.33358147,0.01271451,0.38549373,2.62356666,0.95149591,35.26692035,20.47031176,0.27732402,16.15102465075376
1.11509112,0.43991324,23.15863551,15.709073214133323,18.081338135675782,1.74525624,0.17065037,1.85550779,16.09804899,19.87587026,0.12152365,20.78550562319115,29.20375729,0.20785084,0.44945499,0.18239755,0.36488031,41.17401931,0.53569075,0.48493738,16.566911617330323,0.45600235,2.18710912,0.68497615,0.32009584,1,48.83102910,3.67984703,0.00006218,0.01946120,1.50213296,0.88981374,0.06485212,1.72789644,0.12152365,14.51849369,2.19926562,MS,0.00091963,1222.00000000,24.06097774,0.01270979,0.38477356,2.62091280,0.95031030,35.06606091,20.20259851,0.27708654,15.876329573263547
1.11306908,0.44037206,23.11056071,15.426270026057805,17.83505078533337,1.74871216,0.16748927,1.85952513,15.81831415,19.73493670,0.12152365,20.57027657582447,28.97890000,0.20839404,0.45035675,0.17969571,0.36330079,41.00409661,0.53498186,0.48524612,16.299363258696502,0.45522774,2.18412214,0.68324219,0.31994140,1,48.76237209,3.65304630,0.00005948,0.01946437,1.50087995,0.89117609,0.06544945,1.73010032,0.12152365,14.46985930,2.18890590,MS,0.00091942,1223.00000000,23.79535590,0.01270506,0.38405949,2.61827138,0.94912906,34.86493321,19.93523937,0.27685208,15.600275691310985
1.11106484,0.44081229,23.06434556,15.149240712104708,17.594771717098606,1.75215214,0.16431639,1.86340589,15.53671198,19.42754116,0.12152365,20.361156203652513,28.75923143,0.20893235,0.45127160,0.17700745,0.36176217,40.82051423,0.53428136,0.48555293,16.032420102567926,0.45450300,2.18115159,0.68156610,0.31980392,1,48.69408685,3.62621982,0.00005676,0.01946755,1.49958549,0.89253523,0.06604679,1.73218736,0.12152365,14.41997285,2.17808054,MS,0.00091901,1224.00000000,23.53523998,0.01270034,0.38335167,2.61564541,0.94795439,34.66861016,19.66848395,0.27662058,15.322326612313313
1.10908310,0.44004236,23.13889867,15.726323795188376,17.835610525687603,1.75557481,0.16228173,1.85729064,15.32745484,23.45598785,193.00364652,20.233596078433372,28.96229284,0.20946571,0.45132963,0.17656235,0.36387561,40.62217222,0.53302948,0.48585773,15.970883563716798,0.45609554,2.18350516,0.68394342,0.32006781,1,48.74047638,6.41238485,194.21247396,0.01947078,1.49956173,0.89172144,0.06664412,1.72652626,193.00364652,17.18216902,2.16836735,MS,0.01714347,1225.00000000,24.04216961,0.01270282,0.38265038,2.61451377,0.94901527,34.55583508,19.59832076,0.27639202,15.120389907948006
1.10724079,0.43950001,23.19159308,16.125868705195213,17.991303004989057,1.75898292,0.16065658,1.85300614,15.15440948,26.25564551,192.71638146,20.118092194238486,29.09101579,0.20999385,0.45140161,0.17608778,0.36524751,40.47031634,0.53202719,0.48615967,15.906174039813175,0.45702383,2.18577511,0.68561082,0.32036331,1,48.77960870,6.49585208,193.93196210,0.01947618,1.50016429,0.89104209,0.06724146,1.72229788,192.71638146,17.23154998,2.16100332,MS,0.01714101,1226.00000000,24.38940490,0.01270441,0.38195380,2.61321771,0.95004026,34.45134137,19.52589678,0.27616582,14.953220420552732
1.05658863,0.41188091,24.67542953,16.473903594061877,18.142078665952738,1.76237899,0.15920778,1.74348950,15.00296622,28.31685489,156.36542860,20.008620648219996,28.40515483,0.21051675,0.45130990,0.17274446,0.35879587,40.35101069,0.53097135,0.48645881,15.846924213593505,0.45263131,2.18059561,0.67946067,0.32066480,1,50.92026921,6.09564597,157.88064968,0.01862110,1.50113494,0.85394540,0.06783880,1.73282227,156.36542860,16.79791456,2.15556475,MS,0.01548386,1227.00000000,23.09218448,0.01184633,0.38126117,2.43521652,0.94819122,34.34990391,19.17900876,0.27594206,14.808065457534255
1.05464909,0.41185045,24.67763132,16.487439607695165,18.09972860180851,1.76576487,0.15781454,1.74337438,14.86232159,29.50366889,156.30399385,19.900598183636262,28.36029037,0.21103432,0.45113250,0.17180455,0.35849435,40.25858416,0.52988583,0.48675491,15.740822568533028,0.45227689,2.18173275,0.67944847,0.32095411,1,50.94562098,6.10766365,157.80784950,0.01862262,1.50228428,0.85357031,0.06843613,1.73213620,156.30399385,16.77353935,2.15126998,MS,0.01546166,1228.00000000,23.08927992,0.01184533,0.38057163,2.43353077,0.94874110,34.24782195,19.06594104,0.27572059,14.673943872994233
1.05272071,0.41187086,24.67458150,16.464931212820936,18.040340933340307,1.76914149,0.15650188,1.74363861,14.72979403,30.14276311,156.34234508,19.79626725644006,28.30065112,0.21154648,0.45090983,0.17086338,0.35805039,40.18128669,0.52880115,0.48704772,15.634776846865625,0.45178710,2.18285762,0.67929170,0.32124131,1,50.97076757,6.11301200,157.84922208,0.01862412,1.50356593,0.85319898,0.06903347,1.73174486,156.34234508,16.73970910,2.14768696,MS,0.01546998,1229.00000000,23.05517543,0.01184439,0.37988464,2.43187509,0.94928564,34.14717391,18.95296023,0.27550124,14.547974013692006
