t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
685,1,MS,10,1,10819.74855542,10819.74855542,0.00333894
686,1,MS,10,1,10599.72753504,10599.72753504,0.00333894
687,1,MS,10,1,10383.52479938,10383.52479938,0.00333894
688,1,MS,10,1,10171.11593945,10171.11593945,0.00333894
689,1,MS,10,1,9962.45594777,9962.45594777,0.00333894
690,1,MS,10,1,9757.50881743,9757.50881743,0.00333894
691,1,MS,10,1,9556.21786935,9556.21786935,0.00333894
692,1,MS,10,1,9358.54180474,9358.54180474,0.00333894
693,1,MS,10,1,9164.43743032,9164.43743032,0.00333894
694,1,MS,10,1,8973.84887635,8973.84887635,0.00333894
695,1,MS,10,1,8786.73323283,8786.73323283,0.00333894
696,1,MS,10,1,8603.04322348,8603.04322348,0.00333894
697,1,MS,10,1,8422.56620561,8422.56620561,0.00333894
698,1,MS,10,1,8244.86312008,8244.86312008,0.00333894
699,1,MS,10,1,8069.82271988,8069.82271988,0.00333894
700,1,MS,10,1,7897.43653421,7897.43653421,0.00333894
701,1,MS,10,1,7727.68186365,7727.68186365,0.00333894
702,1,MS,10,1,7560.56266330,7560.56266330,0.00333894
703,1,MS,10,1,7396.07736017,7396.07736017,0.00333894
704,1,MS,10,1,7234.21518486,7234.21518486,0.00333894
705,1,MS,10,1,7197.55712443,7197.55712443,0.00333894
706,1,MS,10,1,7193.50244803,7193.50244803,0.00333894
707,1,MS,10,1,7193.50578697,7193.50578697,0.00333894
708,1,MS,10,1,7193.50912591,7193.50912591,0.00333894
709,1,MS,10,1,7193.51246485,7193.51246485,0.00333894
710,1,MS,10,1,7193.51580379,7193.51580379,0.00333894
711,1,MS,10,1,7193.20248016,7193.20248016,0.00333894
712,1,MS,10,1,7170.44192324,7170.44192324,0.00333894
713,1,MS,10,1,7170.44526218,7170.44526218,0.00333894
714,1,MS,10,1,7170.44860112,7170.44860112,0.00333894
715,1,MS,10,1,7170.45194006,7170.45194006,0.00333894
716,1,MS,10,1,7170.45527900,7170.45527900,0.00333894
717,1,MS,10,1,7170.45861794,7170.45861794,0.00333894
718,1,MS,10,1,7170.46195688,7170.46195688,0.00333894
719,1,MS,10,1,7170.46529582,7170.46529582,0.00333894
720,1,MS,10,1,7170.46863476,7170.46863476,0.00333894
721,1,MS,10,1,7170.47197369,7170.47197369,0.00333894
722,1,MS,10,1,7170.47531263,7170.47531263,0.00333894
723,1,MS,10,1,7170.47865157,7170.47865157,0.00333894
724,1,MS,10,1,7170.48199051,7170.48199051,0.00333894
725,1,MS,10,1,7170.48532945,7170.48532945,0.00333894
726,1,MS,10,1,7170.48866839,7170.48866839,0.00333894
727,1,MS,10,1,7170.49200733,7170.49200733,0.00333894
728,1,MS,10,1,7170.49534627,7170.49534627,0.00333894
729,1,MS,10,1,7170.49868521,7170.49868521,0.00333894
730,1,MS,10,1,7170.50202415,7170.50202415,0.00333894
731,1,MS,10,1,7170.50536309,7170.50536309,0.00333894
732,1,MS,10,1,7170.50870203,7170.50870203,0.00333894
