t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
1864,1,MS,177400.70716330,5.23939394,0.00223996,177400.70716330,1
1865,1,MS,177103.77362483,5.24848485,0.00224169,177103.77362483,1
1866,1,MS,176811.64211657,5.20606061,0.00223359,176811.64211657,1
1867,1,MS,176523.65257960,5.19393939,0.00223128,176523.65257960,1
1868,1,MS,176240.56866936,5.14242424,0.00222149,176240.56866936,1
1869,1,MS,175960.74911125,5.09090909,0.00221174,175960.74911125,1
1870,1,MS,175680.32183580,5.04848485,0.00220374,175680.32183580,1
1871,1,MS,175396.02841231,5.00000000,0.00219463,175396.02841231,1
1872,1,MS,175106.08029354,4.92121212,0.00217990,175106.08029354,1
1873,1,MS,174809.72526483,4.81212121,0.00215965,174809.72526483,1
1874,1,MS,174507.48576383,4.66666667,0.00213291,174507.48576383,1
1875,1,MS,174201.01413035,4.48484848,0.00209993,174201.01413035,1
1876,1,MS,173890.58499260,4.33333333,0.00207279,173890.58499260,1
1877,1,MS,173576.81993656,4.22121212,0.00205292,173576.81993656,1
1878,1,MS,173261.78638707,4.07575758,0.00202740,173261.78638707,1
1879,1,MS,172946.66754599,3.94848485,0.00200531,172946.66754599,1
1880,1,MS,172632.75680614,3.83939394,0.00198655,172632.75680614,1
1881,1,MS,172320.87263776,3.74242424,0.00197001,172320.87263776,1
1882,1,MS,172012.00382963,3.63939394,0.00195257,172012.00382963,1
1883,1,MS,171706.62634364,3.53939394,0.00193578,171706.62634364,1
1884,1,MS,171405.24483311,3.43636364,0.00191863,171405.24483311,1
1885,1,MS,171107.60271188,3.35454545,0.00190510,171107.60271188,1
1886,1,MS,170812.19717426,3.33939394,0.00190260,170812.19717426,1
1887,1,MS,170518.54775615,3.35151515,0.00190460,170518.54775615,1
1888,1,MS,170226.81271103,3.36363636,0.00190660,170226.81271103,1
1889,1,MS,169936.45302558,3.40303030,0.00191310,169936.45302558,1
1890,1,MS,169647.01305886,3.46666667,0.00192366,169647.01305886,1
1891,1,MS,169359.33699673,3.50000000,0.00192921,169359.33699673,1
1892,1,MS,169073.48110493,3.52424242,0.00193325,169073.48110493,1
1893,1,MS,168786.93522853,3.58787879,0.00194391,168786.93522853,1
1894,1,MS,168497.83251008,3.63030303,0.00195104,168497.83251008,1
1895,1,MS,168204.90581948,3.60303030,0.00194645,168204.90581948,1
1896,1,MS,167906.06214169,3.50606061,0.00193022,167906.06214169,1
1897,1,MS,167598.11348617,3.39696970,0.00191210,167598.11348617,1
1898,1,MS,167279.36970869,3.28787879,0.00189414,167279.36970869,1
1899,1,MS,166950.45490558,3.21818182,0.00188275,166950.45490558,1
1900,1,MS,166613.33112298,3.09090909,0.00186210,166613.33112298,1
1901,1,MS,166267.99423076,3.00909091,0.00184894,166267.99423076,1
1902,1,MS,165917.59909186,2.90909091,0.00183297,165917.59909186,1
1903,1,MS,165565.12543193,2.80909091,0.00181713,165565.12543193,1
1904,1,MS,165212.46491584,2.72727273,0.00180426,165212.46491584,1
1905,1,MS,164860.77378684,2.65757576,0.00179336,164860.77378684,1
1906,1,MS,164510.64143114,2.60000000,0.00178441,164510.64143114,1
1907,1,MS,164163.04500449,2.53636364,0.00177456,164163.04500449,1
1908,1,MS,163818.09374729,2.48484849,0.00176662,163818.09374729,1
1909,1,MS,163474.77308619,2.47878788,0.00176569,163474.77308619,1
1910,1,MS,163132.07435344,2.51515151,0.00177128,163132.07435344,1
1911,1,MS,162789.29251520,2.58181818,0.00178159,162789.29251520,1
1912,1,MS,162446.50714452,2.65151515,0.00179242,162446.50714452,1
1913,1,MS,162102.60742346,2.76363636,0.00180997,162102.60742346,1
1914,1,MS,161757.13914683,2.89696970,0.00183105,161757.13914683,1
1915,1,MS,161409.07877742,3.06969697,0.00185868,161409.07877742,1
1916,1,MS,161061.47608042,3.13636364,0.00186945,161061.47608042,1
1917,1,MS,160713.08866981,3.22121212,0.00188324,160713.08866981,1
1918,1,MS,160363.13235749,3.29090909,0.00189464,160363.13235749,1
1919,1,MS,160011.23622088,3.31818182,0.00189911,160011.23622088,1
1920,1,MS,159655.86935052,3.32121212,0.00189961,159655.86935052,1
1921,1,MS,159294.63409894,3.31818182,0.00189911,159294.63409894,1
1922,1,MS,158926.87016743,3.27272727,0.00189166,158926.87016743,1
1923,1,MS,158552.52397364,3.20303030,0.00188028,158552.52397364,1
1924,1,MS,158173.46846209,3.15454546,0.00187240,158173.46846209,1
1925,1,MS,157790.25531866,3.10909091,0.00186504,157790.25531866,1
1926,1,MS,157405.64976500,3.01818182,0.00185040,157405.64976500,1
1927,1,MS,157021.16581667,2.93030303,0.00183635,157021.16581667,1
1928,1,MS,156637.15262566,2.87878788,0.00182816,156637.15262566,1
1929,1,MS,156253.22647105,2.87575758,0.00182768,156253.22647105,1
1930,1,MS,155869.52561167,2.89393939,0.00183057,155869.52561167,1
1931,1,MS,155486.71953359,2.90909091,0.00183297,155486.71953359,1
1932,1,MS,155104.95285001,2.93333333,0.00183683,155104.95285001,1
1933,1,MS,154723.64013448,2.98484849,0.00184506,154723.64013448,1
1934,1,MS,154342.82208893,3.04242424,0.00185430,154342.82208893,1
1935,1,MS,153962.36193245,3.10909091,0.00186504,153962.36193245,1
1936,1,MS,153583.54906064,3.13939394,0.00186994,153583.54906064,1
1937,1,MS,153205.95975983,3.18484848,0.00187732,153205.95975983,1
1938,1,MS,152828.98000276,3.25151515,0.00188819,152828.98000276,1
1939,1,MS,152451.02756980,3.36969697,0.00190760,152451.02756980,1
1940,1,MS,152070.35886398,3.54242424,0.00193629,152070.35886398,1
1941,1,MS,151686.31177875,3.72727273,0.00196743,151686.31177875,1
1942,1,MS,151297.81636137,3.92727273,0.00200165,151297.81636137,1
1943,1,MS,150904.74000520,4.10606061,0.00203269,150904.74000520,1
1944,1,MS,150507.12491491,4.24848485,0.00205774,150507.12491491,1
1945,1,MS,150104.57991005,4.37272727,0.00207982,150104.57991005,1
1946,1,MS,149697.14985652,4.46060606,0.00209556,149697.14985652,1
1947,1,MS,149284.53239626,4.52121212,0.00210649,149284.53239626,1
1948,1,MS,148868.41942527,4.52121212,0.00210649,148868.41942527,1
1949,1,MS,148444.87208730,4.61515151,0.00212352,148444.87208730,1
1950,1,MS,148015.73882408,4.69090909,0.00213735,148015.73882408,1
1951,1,MS,147583.40961913,4.75454545,0.00214903,147583.40961913,1
1952,1,MS,147149.85428265,4.80606061,0.00215853,147149.85428265,1
1953,1,MS,146716.20220521,4.85454546,0.00216750,146716.20220521,1
1954,1,MS,146283.45715176,4.89696970,0.00217538,146283.45715176,1
1955,1,MS,145851.61467609,4.95757576,0.00218669,145851.61467609,1
1956,1,MS,145421.08555595,5.02121212,0.00219861,145421.08555595,1
1957,1,MS,144991.27580299,5.10909091,0.00221518,144991.27580299,1
1958,1,MS,144561.32426737,5.22424242,0.00223706,144561.32426737,1
1959,1,MS,144130.98319904,5.35151515,0.00226148,144130.98319904,1
1960,1,MS,143699.56494956,5.50303030,0.00229086,143699.56494956,1
1961,1,MS,143264.95747410,5.71818182,0.00233318,143264.95747410,1
1962,1,MS,142828.09758895,5.91212121,0.00237195,142828.09758895,1
1963,1,MS,142389.49641452,6.09696970,0.00240944,142389.49641452,1
1964,1,MS,141949.34693743,6.26969697,0.00244496,141949.34693743,1
1965,1,MS,141506.63525898,6.43030303,0.00247842,141506.63525898,1
1966,1,MS,141059.99068416,6.57878788,0.00250973,141059.99068416,1
1967,1,MS,140608.18341843,6.70909091,0.00253750,140608.18341843,1
1968,1,MS,140144.24630317,6.84242424,0.00256621,140144.24630317,1
1969,1,MS,139662.51426950,6.98787879,0.00259786,139662.51426950,1
1970,1,MS,139166.61946625,7.09696970,0.00262183,139166.61946625,1
1971,1,MS,138659.02625436,7.18181818,0.00264062,138659.02625436,1
1972,1,MS,138145.19450281,7.20606061,0.00264601,138145.19450281,1
1973,1,MS,137630.23998974,7.18181818,0.00264062,137630.23998974,1
1974,1,MS,137117.96403564,7.12727273,0.00262853,137117.96403564,1
1975,1,MS,136611.87935132,7.03333333,0.00260782,136611.87935132,1
1976,1,MS,136113.40684442,6.93636364,0.00258661,136113.40684442,1
1977,1,MS,135622.62268198,6.85757576,0.00256949,135622.62268198,1
1978,1,MS,135139.73641383,6.78484849,0.00255377,135139.73641383,1
1979,1,MS,134665.24130322,6.70606061,0.00253685,134665.24130322,1
1980,1,MS,134198.82434199,6.63939394,0.00252261,134198.82434199,1
1981,1,MS,133739.12290721,6.60909091,0.00251616,133739.12290721,1
1982,1,MS,133285.27299011,6.60303030,0.00251488,133285.27299011,1
1983,1,MS,132836.88007222,6.60909091,0.00251616,132836.88007222,1
1984,1,MS,132392.89571060,6.64545454,0.00252390,132392.89571060,1
1985,1,MS,131952.40142961,6.70909091,0.00253750,131952.40142961,1
1986,1,MS,131513.88605769,6.81818182,0.00256096,131513.88605769,1
1987,1,MS,131076.87052762,6.94545454,0.00258859,131076.87052762,1
1988,1,MS,130640.69230205,7.08181818,0.00261849,130640.69230205,1
1989,1,MS,130204.35871615,7.21818182,0.00264871,130204.35871615,1
1990,1,MS,129768.38052108,7.30303030,0.00266767,129768.38052108,1
1991,1,MS,129331.64473631,7.34848485,0.00267788,129331.64473631,1
1992,1,MS,128891.84905366,7.37272727,0.00268334,128891.84905366,1
1993,1,MS,128444.80831924,7.37272727,0.00268334,128444.80831924,1
1994,1,MS,127988.12078870,7.29696970,0.00266631,127988.12078870,1
1995,1,MS,127519.30701175,7.23636364,0.00265276,127519.30701175,1
