t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
13,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00272291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.20014030,NA,NA
13,1,MS,roots,0.01638910,0.00000000,0.00434301,0.00599781,0.00075868,0.96823312,0.00000000,0.00017578,NA,0.06865070,0.06967008,NA,NA,NA,0.04983155,0.56597038,0.98733615,NA,0.87246764,NA,NA,14.45276234,0.00000000,-1.46086053,0.17549138,NA,1.89698233,8.92954436,0.00004589,0.03511678,23.57801175,NA,0.00000000,0.00001413,0.00000000,NA,NA,106.39785903,1.64349933,0.18815233
14,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.93170964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.16334110,NA,NA
14,1,MS,roots,0.01614243,0.48404651,0.00438430,0.00603532,0.00076172,0.96275873,0.00890809,0.00017601,NA,0.06833892,0.06811202,NA,NA,NA,0.04937205,0.55745203,0.98158870,NA,0.86601582,NA,NA,14.48565560,0.08692072,2.42023253,0.17156681,NA,1.91373315,8.95923520,0.00004520,0.03516198,23.70955424,NA,0.00000000,0.00001414,0.00000000,NA,NA,103.98820217,1.61876320,0.18582299
15,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85209312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.01781514,NA,NA
15,1,MS,roots,0.01601809,1.18081582,0.00462318,0.00632998,0.00079724,0.96068043,0.02246037,0.00017623,NA,0.06826125,0.06684664,NA,NA,NA,0.04906643,0.55315794,0.97922412,NA,0.86238684,NA,NA,14.52239258,0.21065529,5.90407909,0.16837944,NA,1.93445205,8.98879947,0.00004485,0.03520683,23.83758120,NA,0.00000000,0.00001475,0.00000000,NA,NA,101.70053250,1.60629376,0.18417432
16,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.76681803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.77124433,NA,NA
16,1,MS,roots,0.01605035,1.80847779,0.00601727,0.00818400,0.00102878,0.96309508,0.03557794,0.00017646,NA,0.06849170,0.06592284,NA,NA,NA,0.04895573,0.55427223,0.98127734,NA,0.86245227,NA,NA,14.56148704,0.32036255,9.04238896,0.16605250,NA,1.95749615,9.01817131,0.00004494,0.03525177,23.96124881,NA,0.00000000,0.00001898,0.00000000,NA,NA,99.50234203,1.60952951,0.18337027
17,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.67740767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.43091399,NA,NA
17,1,MS,roots,0.01617803,2.37397721,0.00622927,0.00840322,0.00105444,0.96840580,0.04836156,0.00017668,NA,0.06892049,0.06520810,NA,NA,NA,0.04896552,0.55868121,0.98615345,NA,0.86477034,NA,NA,14.60376316,0.41745525,11.86988606,0.16425214,NA,1.98359425,9.04763585,0.00004530,0.03529707,24.08262612,NA,0.00000000,0.00001939,0.00000000,NA,NA,97.37087915,1.62233258,0.18309411
18,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.58400649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.99968925,NA,NA
18,1,MS,roots,0.01636522,2.89431120,0.00779448,0.01042145,0.00130557,0.97580378,0.06108370,0.00017691,NA,0.06948518,0.06463323,NA,NA,NA,0.04905881,0.56514558,0.99294423,NA,0.86850010,NA,NA,14.64764420,0.50505887,14.47155598,0.16280410,NA,2.01111006,9.07701795,0.00004582,0.03534290,24.20021113,NA,0.00000000,0.00002392,0.00000000,NA,NA,95.29183828,1.64110421,0.18317722
