N_content_total_DM_shoot,N_content_mstruct_roots,sum_dry_mass_shoot,C_N_ratio,N_content_mstruct_shoot,NS,plant,axis,shoot_roots_ratio,senesced_mstruct,Cont_WSC_DM_laminae,sum_dry_mass_stem,dry_mass_phloem,sum_dry_mass,NS_shoot,Tillers_Photosynthesis_An,sum_NSC_g,N_content_mstruct,sum_dry_mass_laminae,Total_Transpiration,sum_dry_mass_roots,mstruct_laminae,Cont_WSC_DM_shoot,C_exudated,shoot_roots_mstruct_ratio,NS_laminae,sum_N_g_shoot,N_content,NS_stem,Cont_WSC_DM_roots,sum_C_g,sum_N_g,sum_respi_roots,t,Tillers_Photosynthesis,C_N_ratio_shoot,Total_Photosynthesis,NS_roots,C_respired_roots,mstruct_stem,N_content_roots,NNI,mstruct_shoot,Cont_WSC_DM_stem,sum_respi_shoot,N_content_shoot,Cont_WSC_DM,C_respired_shoot,mstruct
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0240500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0072100000,NA,NA,NA,9.0608200000,NA,NA,NA,NA,NA,NA,NA,NA,17.1405900000,277.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.0674000000,NA,NA,NA,2.4628700000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0258300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035000000,NA,NA,NA,18.1902800000,NA,NA,NA,NA,NA,NA,NA,NA,15.6886100000,278.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4962300000,NA,NA,NA,2.4633000000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0258300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035000000,NA,NA,NA,8.2047800000,NA,NA,NA,NA,NA,NA,NA,NA,14.6139200000,279.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.6821100000,NA,NA,NA,2.4635500000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0275100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007500000,NA,NA,NA,16.7437100000,NA,NA,NA,NA,NA,NA,NA,NA,14.2851900000,280.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.6839600000,NA,NA,NA,2.4639300000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0275100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007500000,NA,NA,NA,7.8539700000,NA,NA,NA,NA,NA,NA,NA,NA,14.1008600000,281.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.4810100000,NA,NA,NA,2.4641700000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0292800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025600000,NA,NA,NA,17.7680800000,NA,NA,NA,NA,NA,NA,NA,NA,15.3576500000,282.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.2819500000,NA,NA,NA,2.4645900000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0292800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025600000,NA,NA,NA,9.5776200000,NA,NA,NA,NA,NA,NA,NA,NA,19.3587900000,283.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9157500000,NA,NA,NA,2.4649800000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0312200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0359400000,NA,NA,NA,22.9536800000,NA,NA,NA,NA,NA,NA,NA,NA,22.1301200000,284.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.5570300000,NA,NA,NA,2.4656000000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0312200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0359400000,NA,NA,NA,15.4820000000,NA,NA,NA,NA,NA,NA,NA,NA,24.2925200000,285.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.2950300000,NA,NA,NA,2.4661400000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0329900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0700100000,NA,NA,NA,30.9304800000,NA,NA,NA,NA,NA,NA,NA,NA,26.6181600000,286.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.0609000000,NA,NA,NA,2.4668700000
