mstruct_laminae,C_respired_shoot,Cont_WSC_DM_shoot,Cont_WSC_DM_laminae,NNI,senesced_mstruct,sum_N_g_shoot,shoot_roots_ratio,sum_respi_shoot,sum_N_g,NS_shoot,Cont_WSC_DM_roots,mstruct,axis,Tillers_Photosynthesis_An,C_respired_roots,Total_Photosynthesis,Tillers_Photosynthesis,N_content_mstruct,Total_Transpiration,N_content_mstruct_shoot,sum_dry_mass_shoot,dry_mass_phloem,shoot_roots_mstruct_ratio,Cont_WSC_DM_stem,N_content_roots,t,C_exudated,sum_C_g,N_content_mstruct_roots,sum_dry_mass_roots,N_content,plant,sum_dry_mass_stem,N_content_total_DM_shoot,C_N_ratio,N_content_shoot,C_N_ratio_shoot,NS,sum_NSC_g,NS_laminae,NS_roots,sum_respi_roots,sum_dry_mass_laminae,NS_stem,Cont_WSC_DM,sum_dry_mass,mstruct_stem,mstruct_shoot
NA,NA,NA,NA,NA,0.0329300000,NA,NA,17.9640300000,NA,NA,NA,2.1422200000,MS,NA,NA,NA,NA,NA,0.0050800000,NA,NA,NA,NA,NA,NA,54.0000000000,6.8839100000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0893600000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0329300000,NA,NA,16.9646500000,NA,NA,NA,2.1423500000,MS,NA,NA,NA,NA,NA,0.0050800000,NA,NA,NA,NA,NA,NA,55.0000000000,5.0473000000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3478600000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0339000000,NA,NA,18.6795200000,NA,NA,NA,2.1423100000,MS,NA,NA,NA,NA,NA,0.0089900000,NA,NA,NA,NA,NA,NA,56.0000000000,10.3020000000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5817700000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0339000000,NA,NA,19.5892200000,NA,NA,NA,2.1424800000,MS,NA,NA,NA,NA,NA,0.0089900000,NA,NA,NA,NA,NA,NA,57.0000000000,8.2619000000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7489900000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0352200000,NA,NA,24.6467000000,NA,NA,NA,2.1424300000,MS,NA,NA,NA,NA,NA,0.0210100000,NA,NA,NA,NA,NA,NA,58.0000000000,16.8287300000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1437500000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0352200000,NA,NA,24.9250400000,NA,NA,NA,2.1426300000,MS,NA,NA,NA,NA,NA,0.0210100000,NA,NA,NA,NA,NA,NA,59.0000000000,14.1485500000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3975900000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0367800000,NA,NA,28.2529900000,NA,NA,NA,2.1425700000,MS,NA,NA,NA,NA,NA,0.0267300000,NA,NA,NA,NA,NA,NA,60.0000000000,23.1084000000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2170300000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0367800000,NA,NA,28.5146400000,NA,NA,NA,2.1428000000,MS,NA,NA,NA,NA,NA,0.0267300000,NA,NA,NA,NA,NA,NA,61.0000000000,17.0831900000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4513200000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0384300000,NA,NA,28.6416600000,NA,NA,NA,2.1427500000,MS,NA,NA,NA,NA,NA,0.0229000000,NA,NA,NA,NA,NA,NA,62.0000000000,23.8983500000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5959100000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0384300000,NA,NA,28.2214400000,NA,NA,NA,2.1429700000,MS,NA,NA,NA,NA,NA,0.0229000000,NA,NA,NA,NA,NA,NA,63.0000000000,15.0221400000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9737600000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0400400000,NA,NA,27.5702400000,NA,NA,NA,2.1429300000,MS,NA,NA,NA,NA,NA,0.0175200000,NA,NA,NA,NA,NA,NA,64.0000000000,21.0327700000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4309700000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0400400000,NA,NA,26.8249600000,NA,NA,NA,2.1431300000,MS,NA,NA,NA,NA,NA,0.0175200000,NA,NA,NA,NA,NA,NA,65.0000000000,11.5796700000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4420800000,NA,NA,NA,NA,NA,NA
