t,air_temperature,humidity,ambient_CO2,Wind,PARi,,date,
117,13.16666667,0.921771706,536,0.305833333,0,,2024/4/14 21:00,
118,12.54166667,0.92939961,561.5,0.454166667,0,,2024/4/14 22:00,
119,13.24166667,0.936965578,517.8333333,0.600833333,0,,2024/4/14 23:00,
120,12.13333333,0.952358546,563.1666667,0.355833333,0,,2024/4/15 0:00,
121,11.60833333,0.93724869,575.1666667,0.345833333,0,,2024/4/15 1:00,
122,11.44166667,0.948218469,545.8333333,0.371666667,0,,2024/4/15 2:00,
123,11.43333333,0.946329426,543.6666667,0.291666667,0,,2024/4/15 3:00,
124,12.61666667,0.937178755,511,0.565833333,0,,2024/4/15 4:00,
125,12.99166667,0.954292085,511.6666667,0.379166667,26.475,,2024/4/15 5:00,
126,14.125,0.968459152,501.6666667,0.584166667,173.4583333,,2024/4/15 6:00,
127,16.15,0.940984202,490.1666667,0.621666667,655.4666667,,2024/4/15 7:00,
128,17.61666667,0.831013917,490.8333333,1.128333333,865.1,,2024/4/15 8:00,
129,18.68333333,0.75751472,481.6666667,1.21,1222.758333,,2024/4/15 9:00,
130,19.6,0.71211457,467.1666667,1.904166667,1603.35,,2024/4/15 10:00,
131,20,0.69344835,464,2.17,1458.425,,2024/4/15 11:00,
132,20.05,0.729498861,466.6666667,2.264166667,1460.208333,,2024/4/15 12:00,
133,20.03333333,0.736748488,465.6666667,2.7725,1325,,2024/4/15 13:00,
134,19.575,0.740041008,469.6666667,2.785,948.9416667,,2024/4/15 14:00,
135,18.975,0.778942571,471.6666667,2.4375,579.1916667,,2024/4/15 15:00,
136,18.95,0.775165487,479,2.269166667,404.4833333,,2024/4/15 16:00,
137,17.94166667,0.798978682,480.8333333,2.206666667,138.1833333,,2024/4/15 17:00,
138,16.975,0.794431994,490.3333333,1.231666667,18.28333333,,2024/4/15 18:00,
139,15.80833333,0.827650283,496.5,0.919166667,0,,2024/4/15 19:00,
140,15.525,0.861518102,499.6666667,0.933333333,0,,2024/4/15 20:00,
141,15.35833333,0.88144182,502.1666667,0.7125,0,,2024/4/15 21:00,
142,15.25833333,0.895703163,502.1666667,0.895,0,,2024/4/15 22:00,
143,15.33333333,0.89999043,499.3333333,1.0075,0,,2024/4/15 23:00,
144,15.56666667,0.870283019,492.5,1.055,0,,2024/4/16 0:00,
145,15.8,0.867870103,489.5,1.204166667,0,,2024/4/16 1:00,
