t,air_temperature,humidity,ambient_CO2,Wind,PARi,air_temperature(original)
470,17.9,0.54,421,1.5,1054.888889,17.9
471,18.1,0.51,421,1.5,1038.055556,18.1
472,17.8,0.52,421,1.5,185.1666667,17.8
473,16.3,0.6,421,1.5,303,16.3
474,15.4,0.6,421,1.5,224.4444444,15.4
475,14.6,0.6,421,1.5,16.83333333,14.6
476,14.5,0.58,421,1.5,0,14.5
477,13.8,0.64,421,1.5,0,13.8
478,14.2,0.61,421,1.5,0,14.2
479,13.4,0.62,421,1.5,0,13.4
480,17.2,0.89,421,2.4,0,17.2
481,15.9,0.94,421,2.4,0,15.9
482,14.9,0.95,421,2.4,0,14.9
483,14.9,0.95,421,2.4,0,14.9
484,15.4,0.95,421,2.4,33.66666667,15.4
485,18.4,0.84,421,2.4,241.2777778,18.4
486,19.1,0.83,421,2.4,448.8888889,19.1
487,21.3,0.76,421,2.4,516.2222222,21.3
488,23.5,0.71,421,2.4,774.3333333,23.5
489,25.9,0.58,421,2.4,1369.111111,25.9
490,25.9,0.59,421,2.4,1133.444444,25.9
491,27.3,0.54,421,2.4,1318.611111,27.3
492,26.8,0.54,421,2.4,488.1666667,26.8
493,28.4,0.53,421,2.4,774.3333333,28.4
494,28.7,0.55,421,2.4,1234.444444,28.7
495,25.8,0.57,421,2.4,993.1666667,25.8
496,24.3,0.63,421,2.4,673.3333333,24.3
497,24.2,0.7,421,2.4,521.8333333,24.2
498,22.5,0.77,421,2.4,246.8888889,22.5
499,21.1,0.84,421,2.4,44.88888889,21.1
500,19.9,0.89,421,2.4,0,19.9
501,20,0.87,421,2.4,0,20
502,19.7,0.9,421,2.4,0,19.7
503,18.9,0.95,421,2.4,0,18.9
504,9,0.82,421,3.1,0,9
505,9.2,0.83,421,3.1,0,9.2
506,9.1,0.85,421,3.1,0,9.1
507,8.7,0.84,421,3.1,0,8.7
508,8.3,0.85,421,3.1,0,8.3
509,8.2,0.84,421,3.1,72.94444444,8.2
510,8.4,0.82,421,3.1,151.5,8.4
511,9.3,0.8,421,3.1,252.5,9.3
512,10.3,0.73,421,3.1,684.5555556,10.3
513,11,0.67,421,3.1,634.0555556,11
514,11,0.69,421,3.1,577.9444444,11
515,11.3,0.76,421,3.1,1043.666667,11.3
516,11.6,0.76,421,3.1,942.6666667,11.6
517,12.4,0.76,421,3.1,1228.833333,12.4
518,12,0.79,421,3.1,774.3333333,12
519,12.3,0.72,421,3.1,572.3333333,12.3
520,12.6,0.71,421,3.1,650.8888889,12.6
521,11.1,0.85,421,3.1,140.2777778,11.1
522,11.1,0.76,421,3.1,95.38888889,11.1
523,10.8,0.76,421,3.1,0,10.8
524,10.8,0.75,421,3.1,0,10.8
525,10.8,0.76,421,3.1,0,10.8
526,10.6,0.79,421,3.1,0,10.6
527,10.3,0.83,421,3.1,0,10.3
528,15.8,0.63,421,2.3,0,15.8
529,14,0.69,421,2.3,0,14
530,11.4,0.78,421,2.3,0,11.4
531,10.2,0.85,421,2.3,0,10.2
532,11.6,0.85,421,2.3,78.55555556,11.6
533,16.2,0.65,421,2.3,398.3888889,16.2
534,17.6,0.62,421,2.3,701.3888889,17.6
535,19.9,0.56,421,2.3,1049.277778,19.9
536,21.5,0.49,421,2.3,1374.722222,21.5
537,24,0.45,421,2.3,1644.055556,24
538,24.6,0.44,421,2.3,1812.388889,24.6
539,26,0.41,421,2.3,1885.333333,26
540,27.3,0.39,421,2.3,1840.444444,27.3
541,26.3,0.4,421,2.3,1402.777778,26.3
542,26.2,0.41,421,2.3,690.1666667,26.2
543,26.7,0.43,421,2.3,701.3888889,26.7
544,26.7,0.38,421,2.3,516.2222222,26.7
545,25.6,0.38,421,2.3,258.1111111,25.6
546,24.7,0.4,421,2.3,134.6666667,24.7
547,23.7,0.41,421,2.3,28.05555556,23.7
548,23.5,0.38,421,2.3,0,23.5
549,22.4,0.38,421,2.3,0,22.4
550,18,0.57,421,2.3,0,18
551,17,0.58,421,2.3,0,17
552,12.9,0.72,421,3.7,0,12.9
553,11.5,0.75,421,3.7,0,11.5
554,10.4,0.79,421,3.7,0,10.4
555,9.4,0.79,421,3.7,0,9.4
556,11.3,0.76,421,3.7,84.16666667,11.3
557,12.8,0.71,421,3.7,387.1666667,12.8
558,15.6,0.54,421,3.7,751.8888889,15.6
559,17,0.48,421,3.7,1127.833333,17
560,18.2,0.45,421,3.7,1425.222222,18.2
561,19.1,0.41,421,3.7,1593.555556,19.1
562,19.9,0.41,421,3.7,1778.722222,19.9
563,21,0.38,421,3.7,1969.5,21
564,22.3,0.35,421,3.7,1986.333333,22.3
565,21.9,0.35,421,3.7,1627.222222,21.9
566,21.8,0.4,421,3.7,1116.611111,21.8
567,21.8,0.39,421,3.7,998.7777778,21.8
568,21.8,0.42,421,3.7,667.7222222,21.8
569,20.8,0.48,421,3.7,544.2777778,20.8
