t,air_temperature,humidity,ambient_CO2,Wind,PARi,,date
164,16.48333333,0.873277012,493.6666667,1.759166667,0,,4/16/2024 20:00
165,16.68333333,0.857230715,493.1666667,1.5475,0,,4/16/2024 21:00
166,16.1,0.900082124,499.5,1.2025,0,,4/16/2024 22:00
167,15.35,0.946915352,515,0.469166667,0,,4/16/2024 23:00
168,14.95,0.950990002,510.8333333,0.584166667,0,,4/17/2024 0:00
169,14.925,0.955773956,510.8333333,0.454166667,0,,4/17/2024 1:00
170,14.49166667,0.963614312,540.5,0.306666667,0,,4/17/2024 2:00
171,14.14166667,0.964796024,599,0.22,0,,4/17/2024 3:00
172,14.475,0.963595915,549.1666667,0.325,0,,4/17/2024 4:00
173,14.45833333,0.972160356,544.6666667,0.269166667,11.025,,4/17/2024 5:00
174,14.99166667,0.990201842,516.1666667,0.31,140.95,,4/17/2024 6:00
175,16.76666667,0.986029861,488.6666667,0.650833333,616.9166667,,4/17/2024 7:00
176,19.41666667,0.844442802,468,0.646666667,1171.808333,,4/17/2024 8:00
177,20.91666667,0.705981409,453,1.031666667,1580.15,,4/17/2024 9:00
178,21.8,0.607767983,451.1666667,1.158333333,1880.241667,,4/17/2024 10:00
179,22.3,0.552460539,448.6666667,1.508333333,2042.408333,,4/17/2024 11:00
180,22.68333333,0.481559855,449,1.721666667,1987.25,,4/17/2024 12:00
181,22.5,0.447811448,447,1.795,1771.966667,,4/17/2024 13:00
182,22.36666667,0.43597655,445,1.434166667,1416.241667,,4/17/2024 14:00
183,21.76666667,0.427593268,448.1666667,1.58,988.6083333,,4/17/2024 15:00
184,20.525,0.453033336,450,0.954166667,457.7583333,,4/17/2024 16:00
185,19.25,0.481072202,462.6666667,0.848333333,158.0833333,,4/17/2024 17:00
186,17.1,0.544677943,481.3333333,0.875,12.975,,4/17/2024 18:00
187,15.21666667,0.652148776,496,0.659166667,0,,4/17/2024 19:00
188,15.79166667,0.567821001,492.1666667,0.7725,0,,4/17/2024 20:00
189,13.74166667,0.69672912,546,0.485833333,0,,4/17/2024 21:00
190,12.01666667,0.832857483,596.8333333,0.390833333,0,,4/17/2024 22:00
191,11.46666667,0.859128937,589.8333333,0.4175,0,,4/17/2024 23:00
192,11.3,0.854991287,564,0.3975,0,,4/18/2024 0:00
193,10.96666667,0.862647844,569,0.29,0,,4/18/2024 1:00
194,10.75,0.846213492,566.1666667,0.35,0,,4/18/2024 2:00
195,10.21666667,0.868861234,583.6666667,0.340833333,0,,4/18/2024 3:00
196,10.25833333,0.863150868,584.6666667,0.3925,0,,4/18/2024 4:00
197,10.01666667,0.880065049,591,0.328333333,18.625,,4/18/2024 5:00
198,10.86666667,0.887863642,516.5,0.2875,154.0416667,,4/18/2024 6:00
199,13.4,0.781972014,486.5,0.405833333,272.65,,4/18/2024 7:00
200,15.36666667,0.750119218,470.8333333,0.469166667,454.3916667,,4/18/2024 8:00
201,17.29166667,0.668468621,457.1666667,0.54,569.0833333,,4/18/2024 9:00
202,17.95833333,0.658704453,467.6666667,0.66,538.6833333,,4/18/2024 10:00
203,18.56666667,0.694251618,478.6666667,0.751666667,649.3333333,,4/18/2024 11:00
204,19.2,0.673579397,476.8333333,0.77,893.6166667,,4/18/2024 12:00
205,19.74166667,0.642934822,471.8333333,1.036666667,848.725,,4/18/2024 13:00
206,19.51666667,0.628840218,468.3333333,0.909166667,593.6333333,,4/18/2024 14:00
207,19.69166667,0.630855397,463.1666667,0.779166667,576.55,,4/18/2024 15:00
208,19.375,0.626815891,467.3333333,0.915,264.4666667,,4/18/2024 16:00
209,18.05833333,0.676652976,472.5,0.836666667,113.0166667,,4/18/2024 17:00
210,16.26666667,0.683098592,488.1666667,0.460833333,14.64166667,,4/18/2024 18:00
211,15.6,0.585372741,477.5,1.241666667,0,,4/18/2024 19:00
212,15.48333333,0.522501184,466.8333333,1.83,0,,4/18/2024 20:00
213,14.36666667,0.560321989,468.1666667,1.485833333,0,,4/18/2024 21:00
214,12.91666667,0.609488643,474.8333333,0.9725,0,,4/18/2024 22:00
215,13.06666667,0.636524823,470.6666667,1.045833333,0,,4/18/2024 23:00
216,11.64166667,0.710929893,484.8333333,0.833333333,0,,4/19/2024 0:00
217,12.51666667,0.691301354,473.1666667,1.521666667,0,,4/19/2024 1:00
218,13.05,0.642223208,470.3333333,1.830833333,0,,4/19/2024 2:00
